"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","18-Jul-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Brisbane to Canberra","","","","289.27","17-Jul-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Canberra to Brisbane","","","","799.62","19-Jul-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","799.62","28-Aug-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Brisbane","","","","714.18","02-Sep-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","739.64","11-Sep-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","739.64","16-Sep-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","739.64","09-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Brisbane","","","","799.62","13-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Brisbane to Canberra","","","","739.64","16-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Canberra to Brisbane","","","","739.64","21-Oct-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Brisbane to Canberra","","","","799.62","06-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Canberra to Brisbane","","","","739.64","11-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Brisbane to Canberra","","","","799.62","20-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Brisbane","","","","799.62","24-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Brisbane to Canberra","","","","739.64","27-Nov-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Brisbane","","","","739.64","02-Dec-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 23 Jul to 22 Aug 16","","","","1,039.59","22-Aug-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 25 Jul to 25 Aug 16","","","","211.09","25-Aug-2016",""
"Luke Howarth","Representative","Petrie","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 23 Aug to 22 Sep 16","","","","1,039.59","22-Sep-2016",""
