"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Jul 16","15 Jul 16","Katherine","Electorate Business","1","285.00","","285.00","15-Jul-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Daly River","Electorate Business","1","258.00","","258.00","17-Jul-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Wadeye","Electorate Business","1","258.00","","258.00","18-Jul-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","11 Aug 16","Tennant Creek","Electorate Business","2","95.00","","190.00","10-Aug-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","23-Aug-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","17 Sep 16","Katherine","Electorate Business","2","288.00","","576.00","16-Sep-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Oct 16","4 Oct 16","Alice Springs","Electorate Business","3","304.00","","912.00","02-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","12","276.00","","3,312.00","09-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Oct 16","21 Oct 16","Sydney","Electorate Business","1","134.00","","134.00","21-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Oct 16","22 Oct 16","Alice Springs","Electorate Business","1","304.00","","304.00","22-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Oct 16","26 Oct 16","Alice Springs","Community Affairs","1","304.00","","304.00","26-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Oct 16","27 Oct 16","Sydney","Electorate Business","1","400.00","","400.00","27-Oct-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Nov 16","4 Nov 16","Sydney","Sittings of Parliament","1","400.00","","400.00","04-Nov-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","2 Dec 16","Canberra","Sittings of Parliament","13","276.00","","3,588.00","20-Nov-2016",""
