"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","12-Sep-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","10-Oct-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Oct 16","13 Oct 16","Townsville","Minister - Official Business","1","372.00","","372.00","13-Oct-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Senate Estimates","3","276.00","","828.00","17-Oct-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","11 Nov 16","Canberra","Minister - Official Business","1","276.00","","276.00","11-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","22 Jun 16","22 Jun 16","Canberra","Minister - Official Business","1","273.00","","273.00","22-Jun-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","2,859.84","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","40,902.10","01-Jan-1900","OS Ministerial - Fares",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","3,280.25","01-Jan-1900","OS Ministerial - Ground transport",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","189.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","414.45","01-Jan-1900","OS Ministerial - Passport costs",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","18.22","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","228.40","01-Jan-1900","OS Ministerial - Travel advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","3,710.91","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","23,809.92","01-Jan-1900","OS Ministerial - Fares",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","315.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","19.72","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","233.90","01-Jan-1900","OS Ministerial - Travel advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","11,423.40","01-Jan-1900","OS Delegation - Fares",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","979.10","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","11,423.40","01-Jan-1900","OS Ministerial - Fares",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","1,261.85","01-Jan-1900","OS Ministerial - Ground transport",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","126.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","66.61","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","63.71","01-Jan-1900","OS Ministerial - Travel advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","2,430.46","01-Jan-1900","OS Ministerial - Accommodation and meals",""
