"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","25 Aug 16","Brisbane","Shadow Minister - Official Business","1","408.00","","408.00","25-Aug-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","08-Sep-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Oct 16","3 Oct 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","03-Oct-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Nov 16","12 Nov 16","Queenstown","Shadow Minister - Official Business","1","286.00","","286.00","12-Nov-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Nov 16","26 Nov 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","26-Nov-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Adelaide to Canberra","","","","769.46","07-Jul-2016",""
"Mark Butler","Representative","Port Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Sydney","","","","963.14","08-Jul-2016",""
