"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","12 Sep 16 - Perth to Melbourne","1,673.97","","12-Sep-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","12 Sep 16 - Melbourne to Canberra","","","12-Sep-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","15 Sep 16 - Canberra to Melbourne","1,673.97","","15-Sep-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","15 Sep 16 - Melbourne to Perth","","","15-Sep-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Oct 16 - Perth to Melbourne","1,513.55","","10-Oct-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Oct 16 - Melbourne to Canberra","","","10-Oct-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","13 Oct 16 - Canberra to Melbourne","1,513.55","","13-Oct-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","13 Oct 16 - Melbourne to Perth","","","13-Oct-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","19 Jun 16 - Perth to Melbourne","1,653.25","","19-Jun-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","19 Jun 16 - Melbourne to Canberra","","","19-Jun-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","22 Jun 16 - Canberra to Melbourne","1,513.55","","22-Jun-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","22 Jun 16 - Melbourne to Perth","","","22-Jun-2016"
"Melissa Parke","Representative","Fremantle","Western Australia","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","1,196.88","","01-Jul-2016"
