"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Jul 16","11 Jul 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","11-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Jul 16","14 Jul 16","Sydney","Parliamentary Political Party Meeting","1","438.00","","438.00","14-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","17-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Jul 16","20 Jul 16","Canberra","Minister - Official Business","2","273.00","","546.00","19-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Jul 16","25 Jul 16","Canberra","Minister - Official Business","2","273.00","","546.00","24-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Jul 16","28 Jul 16","Melbourne","Minister - Official Business","1","438.00","","438.00","28-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Jul 16","30 Jul 16","Melbourne","Parliamentary Political Party Meeting","2","438.00","","876.00","29-Jul-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","1 Aug 16","Parkes","Electorate Business","1","368.00","","368.00","01-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Aug 16","3 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","03-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Aug 16","4 Aug 16","Melbourne","Minister - Official Business","1","146.00","","146.00","04-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Aug 16","6 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","06-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","11 Aug 16","Canberra","Minister - Official Business","5","273.00","","1,365.00","07-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","14 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","14-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Melbourne","Minister - Official Business","1","146.00","","146.00","15-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","16-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Melbourne","Minister - Official Business","1","146.00","","146.00","17-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Aug 16","18 Aug 16","Gold Coast","Minister - Official Business","1","368.00","10.00","378.00","18-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Aug 16","19 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","19-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","23 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","23-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","25 Aug 16","Melbourne","Minister - Official Business","1","146.00","","146.00","25-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Aug 16","26 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","26-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Brisbane","Minister - Official Business","1","430.00","","430.00","27-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","28 Aug 16","Canberra","Minister - Official Business","1","276.00","","276.00","28-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Sep 16","9 Sep 16","Sydney","Parliamentary Political Party Meeting","1","442.00","","442.00","09-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Sep 16","17 Sep 16","Cowra","Electorate Business","1","372.00","","372.00","17-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Benalla","Minister - Official Business","1","372.00","","372.00","19-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Sep 16","22 Sep 16","Gold Coast","Minister - Official Business","1","377.00","","377.00","22-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Sep 16","25 Sep 16","Adelaide","Minister - Official Business","1","386.00","","386.00","25-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","26 Sep 16","Forbes","Electorate Business","1","372.00","","372.00","26-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Melbourne","Minister - Official Business","1","442.00","","442.00","27-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Sydney","Minister - Official Business","1","442.00","","442.00","28-Sep-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Leongatha","Minister - Official Business","1","124.00","","124.00","05-Oct-2016",""
