"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","28 Jul 16","Bega","Electorate Business","2","283.00","","566.00","27-Jul-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Aug 16","12 Aug 16","Narooma","Electorate Business","1","258.00","","258.00","12-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Bega","Electorate Business","1","283.00","","283.00","17-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","7 Sep 16","Adelaide","Shadow Parliamentary Secretary - Official","3","362.00","","1,086.00","05-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jan-1900",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Sep 16","10 Sep 16","Merimbula","Electorate Business","1","268.00","","268.00","10-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Bega","Electorate Business","1","286.00","","286.00","21-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","7 Oct 16","Tumut","Electorate Business","2","286.00","","572.00","06-Oct-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Nov 16","5 Nov 16","Sydney","Electorate Business and Shadow Minister -","2","400.00","","884.00*","04-Nov-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Official Business","","","","","01-Jan-1900",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","15 Nov 16","Bega","Electorate Business","1","286.00","","286.00","15-Nov-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Nov 16","26 Nov 16","Tumbarumba","Electorate Business","1","268.00","","268.00","26-Nov-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Dec 16","3 Dec 16","Dubbo","Parliamentary Political Party Meeting","1","286.00","","286.00","03-Dec-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Dec 16","5 Dec 16","Bega","Electorate Business","1","286.00","","286.00","05-Dec-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Dec 16","15 Dec 16","Bermagui","Electorate Business","1","268.00","","268.00","15-Dec-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","*","","","","","","","","01-Jan-1900",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","Adjustment to be reflected in a subsequent reporting period.","","","","","","","01-Jan-1900",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Canberra to Melbourne","","","","411.39","03-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Melbourne to Canberra","","","","411.39","03-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Melbourne","","","","149.76","25-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Melbourne to Canberra","","","","149.76","25-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Sep 16 - Canberra to Adelaide","","","","202.81","05-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Adelaide to Melbourne","","","","336.49","08-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Melbourne to Canberra","","","","","08-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 21 Jul to 3 Aug 16","","","","563.17","03-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 27 Jul 16","","","","62.05","27-Jul-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Aug to 3 Sep 16","","","","1,247.03","03-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 5 Aug to 28 Aug 16","","","","293.44","28-Aug-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 3 Sep to 24 Sep 16","","","","225.93","24-Sep-2016",""
"Mike Kelly","Representative","Eden-Monaro","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Sep to 3 Oct 16","","","","1,247.03","03-Oct-2016",""
