"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Shadow Parliamentary Secretary - Official","1","400.00","","400.00","08-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jan-1900",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Sydney","Shadow Parliamentary Secretary - Official","1","400.00","","400.00","06-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jan-1900",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","10-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","17-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Adelaide to Canberra","","","","769.46","07-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Adelaide","","","","859.66","08-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Adelaide to Canberra","","","","859.66","21-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Adelaide","","","","859.66","22-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Adelaide to Canberra","","","","772.01","28-Aug-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Adelaide","","","","861.02","02-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Adelaide to Sydney","","","","939.69","08-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Sydney to Adelaide","","","","939.69","09-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Adelaide to Canberra","","","","772.01","11-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Adelaide","","","","861.02","15-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Oct 16 - Adelaide to Sydney","","","","939.90","06-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Oct 16 - Sydney to Adelaide","","","","939.90","07-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Adelaide to Canberra","","","","772.01","09-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Adelaide to Canberra","","","","772.01","09-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Adelaide","","","","861.23","13-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Adelaide to Canberra","","","","772.01","16-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Adelaide","","","","861.23","20-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Nov 16 - Adelaide to Melbourne","","","","781.72","02-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Nov 16 - Melbourne to Adelaide","","","","705.78","02-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Nov 16 - Adelaide to Canberra","","","","861.23","07-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Adelaide","","","","861.23","10-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Adelaide to Canberra","","","","772.01","20-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Adelaide","","","","861.23","24-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Adelaide to Sydney","","","","1,002.88","27-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Sydney to Canberra","","","","","27-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Adelaide","","","","861.23","02-Dec-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","28 Jun 16 - Adelaide to Whyalla","","","","373.95","28-Jun-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","28 Jun 16 - Whyalla to Adelaide","","","","373.95","28-Jun-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 6 Jul to 15 Jul 16","","","","138.01","15-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Jul to 15 Aug 16","","","","1,019.31","15-Aug-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 23 Jul to 31 Jul 16","","","","57.84","31-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 5 Aug to 20 Aug 16","","","","173.13","20-Aug-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Additional maintenance 12 Aug 16","","","","713.66","12-Aug-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Aug to 15 Sep 16","","","","1,019.31","15-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 3 Sep to 17 Sep 16","","","","113.64","17-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Sep to 15 Oct 16","","","","1,019.31","15-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Sep 16","","","","57.54","30-Sep-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Oct to 15 Nov 16","","","","1,019.30","15-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 22 Oct to 28 Oct 16","","","","130.28","28-Oct-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 4 Nov to 16 Nov 16","","","","117.95","16-Nov-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Nov to 15 Dec 16","","","","1,019.30","15-Dec-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 31 May 16","","","","45.65","31-May-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 3 Jun to 26 Jun 16","","","","428.24","26-Jun-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 16 Jun to 15 Jul 16","","","","1,019.31","15-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 30 Jun 16","","","","59.82","30-Jun-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","7 Jul 16 - Adelaide","","","","40.00","07-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","7 Jul 16 - Canberra","","","","41.80","07-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","8 Jul 16 - Canberra","","","","40.00","08-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","8 Jul 16 - Canberra","","","","40.00","08-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","8 Jul 16 - Adelaide","","","","41.80","08-Jul-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","","","","21 Jul 16 - Adelaide","","","","40.00","21-Jul-2016",""
