"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Aug 16 - Sydney to Canberra","329.04","","03-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Aug 16 - Canberra to Sydney","329.04","","03-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 13 Jul 16","76.57","","13-Jul-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 24 Jul to 23 Aug 16","1,014.51","","23-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 2 Aug to 22 Aug 16","109.87","","22-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 23 Aug to 15 Sep 16","190.62","","15-Sep-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 24 Aug to 23 Sep 16","1,014.51","","23-Sep-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 23 Sep to 22 Oct 16","169.42","","22-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 24 Sep to 23 Oct 16","1,014.51","","23-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Car cleaning 7 Oct 16","16.36","","07-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","Lease 24 Oct to 23 Nov 16","1,014.51","","23-Nov-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Infringement notice fee 1 May 16","15.00","","01-May-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 24 May to 31 May 16","18.52","","31-May-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 24 Jun to 23 Jul 16","1,014.51","","23-Jul-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","24 Jul 16 - Sydney","88.40","","24-Jul-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","3 Aug 16 - Canberra","132.80","","03-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","9 Aug 16 - Melbourne","46.12","","09-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","11 Aug 16 - Melbourne","42.81","","11-Aug-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","2 Sep 16 - Melbourne","53.56","","02-Sep-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","27 Oct 16 - Melbourne","69.70","","27-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","28 Oct 16 - Melbourne","40.00","","28-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","28 Oct 16 - Melbourne","83.42","","28-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","28 Oct 16 - Sydney","88.60","","28-Oct-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","16 Nov 16 - Sydney","66.33","","16-Nov-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","24 Nov 16 - Melbourne","51.36","","24-Nov-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","25 Nov 16 - Melbourne","40.00","","25-Nov-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 July 2016","25 Nov 16 - Melbourne","40.00","","25-Nov-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","59,034.44","","01-Jan-1900"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","2,604.07","","01-Jan-1900"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","Office requisites and stationery 1 Jul to 31 Jul 16","66.09","","31-Jul-2016"
"Paul Keating","Representative","Blaxland","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","MFD Colour copy charge 28 Jul to 27 Aug 16","74.59","","27-Aug-2016"
