"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","17 Sep 16","Yeppoon","Electorate Business","2","90.00","","180.00","16-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","18 Sep 16","Melbourne","Electorate Business","1","382.00","","382.00","18-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Sep 16","24 Sep 16","Sydney","Electorate Business","2","400.00","","800.00","23-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Canberra","Legal and Constitutional Affairs","1","276.00","","276.00","04-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","6 Oct 16","Kawana","Electorate Business","2","90.00","","180.00","05-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Oct 16","2 Nov 16","Charleville","Electorate Business","3","268.00","","804.00","31-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Nov 16","19 Nov 16","Sydney","Electorate Business","1","134.00","","134.00","19-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Nov 16","25 Nov 16","Rockhampton","Electorate Business","1","96.00","","96.00","25-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Brisbane to Canberra","","","","597.09","15-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Brisbane","","","","203.37","17-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Aug 16 - Brisbane to Townsville","","","","206.07","19-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Aug 16 - Townsville to Brisbane","","","","183.23","19-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Brisbane to Canberra","","","","203.37","22-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Aug 16 - Canberra to Brisbane","","","","203.37","26-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Aug 16 - Brisbane to Sydney","","","","790.66","29-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Aug 16 - Sydney to Canberra","","","","","29-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Melbourne","","","","416.12","02-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Melbourne to Brisbane","","","","211.84","02-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","203.37","11-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","535.53","16-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Brisbane to Rockhampton","","","","","16-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Sep 16 - Rockhampton to Brisbane","","","","388.46","18-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Sep 16 - Brisbane to Melbourne","","","","","18-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Sep 16 - Melbourne to Brisbane","","","","211.84","19-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Sep 16 - Brisbane to Sydney","","","","164.75","23-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Sep 16 - Sydney to Brisbane","","","","272.80","25-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Oct 16 - Brisbane to Canberra","","","","739.64","04-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Oct 16 - Canberra to Sydney","","","","282.30","05-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Oct 16 - Sydney to Brisbane","","","","","05-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","289.27","09-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Oct 16 - Newcastle to Brisbane","","","","270.88","17-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Oct 16 - Brisbane to Norfolk Island","","","","1,274.62","18-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Norfolk Island to Sydney","","","","","21-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Sydney to Brisbane","","","","164.75","21-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Oct 16 - Brisbane to Canberra","","","","203.37","27-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Oct 16 - Canberra to Brisbane","","","","203.37","28-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Oct 16 - Brisbane to Newcastle","","","","270.88","29-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","30 Oct 16 - Newcastle to Brisbane","","","","270.88","30-Oct-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Brisbane to Canberra","","","","318.00","06-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Canberra to Sydney","","","","626.43","11-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Sydney to Brisbane","","","","","11-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Nov 16 - Brisbane to Sydney","","","","164.75","19-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Sydney to Canberra","","","","121.30","20-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Canberra to Brisbane","","","","535.60","25-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Brisbane to Rockhampton","","","","","25-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Nov 16 - Rockhampton to Brisbane","","","","180.37","26-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Brisbane to Canberra","","","","476.06","27-Nov-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Brisbane","","","","203.37","02-Dec-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Dec 16 - Brisbane to Townsville","","","","206.07","15-Dec-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","24 Aug 16 - Canberra","","","","40.00","24-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","25 Aug 16 - Canberra","","","","40.00","25-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","25 Aug 16 - Canberra","","","","78.60","25-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","31 Aug 16 - Canberra","","","","40.00","31-Aug-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","12 Sep 16 - Canberra","","","","40.00","12-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","13 Sep 16 - Canberra","","","","40.00","13-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","15 Sep 16 - Canberra","","","","47.16","15-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","18 Sep 16 - Melbourne","","","","82.80","18-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","19 Sep 16 - Melbourne","","","","225.42","19-Sep-2016",""
"Pauline Hanson","Senator","","Queensland","Pauline Hanson's One Nation","Car Costs","COMCAR","From 1 July 2016","","","","19 Sep 16 - Melbourne","","","","97.88","19-Sep-2016",""
