"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Jul 16","2 Jul 16","Sydney","Leader of the Opposition - Official Business","1","438.00","","438.00","02-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","07-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","21-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Melbourne","Leader of the Opposition - Official Business","1","438.00","","438.00","16-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","17-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","21 Aug 16","Melbourne","Parliamentary Political Party Meeting","1","438.00","","438.00","21-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","24-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Sep 16","3 Sep 16","Sydney","Leader of the Opposition - Official Business","1","442.00","","442.00","03-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Brisbane","Leader of the Opposition - Official Business","1","434.00","","434.00","06-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Sydney","Leader of the Opposition - Official Business","1","442.00","","442.00","06-Oct-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","18 Oct 16","Canberra","Senate Estimates","3","276.00","","828.00","16-Oct-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Oct 16","19 Oct 16","Canberra","Leader of the Opposition - Official Business","1","276.00","","276.00","19-Oct-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Oct 16","20 Oct 16","Canberra","Senate Estimates","1","276.00","","276.00","20-Oct-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Sydney","Leader of the Opposition - Official Business","1","442.00","","442.00","17-Nov-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Dec 16","4 Dec 16","Melbourne","Leader of the Opposition - Official Business","1","442.00","","442.00","04-Dec-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Dec 16","8 Dec 16","Sydney","Leader of the Opposition - Official Business","1","442.00","","442.00","08-Dec-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","9 Jun 16","9 Jun 16","Sydney","Parliamentary Political Party Meeting","1","146.00","","146.00","09-Jun-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","19 Jun 16","19 Jun 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","19-Jun-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","20 Jun 16","20 Jun 16","Sydney","Leader of the Opposition - Official Business","1","438.00","","438.00","20-Jun-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","21 Jun 16","21 Jun 16","Melbourne","Leader of the Opposition - Official Business","1","438.00","","438.00","21-Jun-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","1,253.92","01-Jul-2016","OS Official - Accommodation and meals",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","7,582.38","01-Jul-2016","OS Official - Fares",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","189.00","01-Jul-2016","OS Official - Minor official expense advance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","41.18","01-Jul-2016","OS Official - Related travel expenses",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","44.33","01-Jul-2016","OS Official - Travel advance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","2,513.16","01-Jul-2016","OS Official - Accommodation and meals",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","4,303.20","01-Jul-2016","OS Official - Fares",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","275.45","01-Jul-2016","OS Official - Ground transport",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","252.00","01-Jul-2016","OS Official - Minor official expense advance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","146.90","01-Jul-2016","OS Official - Travel advance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","430.00","01-Jul-2016","OS Representing Australia 3C - Equipment allowance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","390.92","01-Jul-2016","OS Representing Australia 3C - Travel advance",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Jul 16 - Adelaide to Sydney","","","","939.69","02-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Jul 16 - Sydney to Adelaide","","","","845.59","03-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Jul 16 - Adelaide to Sydney","","","","939.69","04-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Jul 16 - Sydney to Adelaide","","","","845.59","04-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Jul 16 - Adelaide to Sydney","","","","845.59","05-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Jul 16 - Sydney to Adelaide","","","","939.69","05-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Adelaide to Canberra","","","","859.66","07-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Adelaide","","","","859.66","08-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Jul 16 - Adelaide to Brisbane","","","","1,164.61","15-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Jul 16 - Brisbane to Adelaide","","","","1,164.61","15-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Adelaide to Canberra","","","","859.66","21-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Adelaide","","","","859.66","22-Jul-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Aug 16 - Adelaide to Canberra","","","","859.66","02-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Aug 16 - Canberra to Adelaide","","","","859.66","02-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Aug 16 - Adelaide to Melbourne","","","","775.37","16-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Melbourne to Canberra","","","","687.87","17-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Canberra to Adelaide","","","","861.02","18-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Aug 16 - Cairns to Melbourne","","","","386.36","21-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Melbourne to Adelaide","","","","705.78","22-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Adelaide to Canberra","","","","861.02","24-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Adelaide","","","","861.02","25-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Adelaide to Canberra","","","","772.01","28-Aug-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Adelaide","","","","491.25","02-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Sep 16 - Adelaide to Sydney","","","","939.69","03-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Sep 16 - Sydney to Adelaide","","","","939.69","04-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Adelaide to Sydney","","","","939.69","06-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Sydney to Coolangatta","","","","545.38","06-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Adelaide to Canberra","","","","861.02","11-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Adelaide","","","","861.02","16-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Sep 16 - Adelaide to Perth","","","","1,472.21","22-Sep-2016","",""
"Penny Wong","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Sep 16 - Perth to Adelaide","","","","1,472.21","22-Sep-2016","",""
