"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Jul 16","6 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","06-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Jul 16","11 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","11-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Minister - Official Business","2","273.00","","546.00","17-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Jul 16","25 Jul 16","Canberra","Minister - Official Business","2","273.00","","546.00","24-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Jul 16","26 Jul 16","Cairns","Minister - Official Business","1","368.00","","368.00","26-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jul-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","02-Aug-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","11 Aug 16","Sydney","Minister - Official Business","3","438.00","","1,314.00","09-Aug-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","15-Aug-2016","",""
"Peter Dutton","Representative","Dickson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Aug 16","18 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","18-Aug-2016","",""
