"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","45.42","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 31 May to 28 Jun 16","632.31","28-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 4 Jun to 2 Jul 16","1,206.80","02-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","3,232.93","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","3,930.87","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","3,596.96","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","1,298.24","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","2,291.75","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","2,018.83","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","Web-services 1 Jul 16","13,784.82","01-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 12 Feb 16","145.45","12-Feb-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 22 Apr 16","228.00","22-Apr-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","72,986 Postal vote applications 16 May 16","7,798.90","16-May-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","2,068.31","30-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","16,000 Printed items 8 Jun 16","1,874.00","08-Jun-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","1 The Australian 4 Jul to 10 Jul 16","2.45","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","Administrative fees 4 Jul to 10 Jul 16","1.15","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","1 The Sydney Morning Herald 4 Jul to 10 Jul 16","2.27","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","1 The Canberra Times 4 Jul to 10 Jul 16","2.00","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","1 Economist 4 Jul to 10 Jul 16","10.00","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 July 2016","1 The Daily Telegraph 4 Jul to 10 Jul 16","1.36","10-Jul-2016","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 31 Aug to 27 Sep 15","4.65","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Queanbeyan Age 31 Aug to 27 Sep 15","5.09","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 The Land 31 Aug to 27 Sep 15","13.82","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Economist 31 Aug to 27 Sep 15","40.00","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Sydney Morning Herald 31 Aug to 27 Sep 15","45.45","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Daily Telegraph 31 Aug to 27 Sep 15","25.45","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Canberra Times 31 Aug to 27 Sep 15","36.36","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","20 The Australian 31 Aug to 27 Sep 15","47.45","27-Sep-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Magnet 9 Nov to 6 Dec 15","5.82","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 9 Nov to 6 Dec 15","10.91","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Cooma Express 9 Nov to 6 Dec 15","11.64","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bega District News 9 Nov to 6 Dec 15","11.64","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","8 Bay Post 9 Nov to 6 Dec 15","11.64","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Narooma News 9 Nov to 6 Dec 15","5.82","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Merimbula News Weekly 9 Nov to 6 Dec 15","5.82","06-Dec-2015","","","","","",""
"Peter Hendy","Representative","Eden-Monaro","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","4 Bombala Times 9 Nov to 6 Dec 15","5.82","06-Dec-2015","","","","","",""
