"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","07-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Perth","Shadow Minister - Official Business","1","411.00","","411.00","22-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","5 Sep 16","Adelaide","Shadow Minister - Official Business","1","362.00","","362.00","05-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","12-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","2","276.00","","552.00","11-Oct-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","17-Oct-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","2 Nov 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","02-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","11 Nov 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","11-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Sydney","Shadow Minister - Official Business","1","134.00","","134.00","16-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","21-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","28-Nov-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","2,129.11","01-Jul-2016","OS Official - Fares",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","189.00","01-Jul-2016","OS Official - Minor official expense advance",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Jul 16 - Melbourne to Sydney","","","","698.76","02-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Jul 16 - Sydney to Melbourne","","","","698.76","03-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Melbourne to Canberra","","","","613.09","07-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Melbourne","","","","613.09","08-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Melbourne to Canberra","","","","613.09","21-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Melbourne","","","","687.87","22-Jul-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Aug 16 - Melbourne to Canberra","","","","687.87","04-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Aug 16 - Canberra to Melbourne","","","","613.09","04-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Melbourne to Newcastle","","","","277.27","15-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Melbourne to Canberra","","","","687.87","17-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Melbourne","","","","687.87","17-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Melbourne to Brisbane","","","","1,023.41","18-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Brisbane to Melbourne","","","","1,095.10","18-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Melbourne to Perth","","","","1,786.14","22-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Perth to Melbourne","","","","1,786.14","23-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Aug 16 - Melbourne to Brisbane","","","","1,023.41","27-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Aug 16 - Brisbane to Melbourne","","","","1,023.41","27-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Aug 16 - Melbourne to Canberra","","","","613.09","29-Aug-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Melbourne","","","","416.12","01-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Sep 16 - Melbourne to Adelaide","","","","705.78","05-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Adelaide to Melbourne","","","","705.78","06-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Melbourne to Sydney","","","","730.58","08-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Sydney to Melbourne","","","","730.58","08-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Sep 16 - Melbourne to Canberra","","","","613.09","12-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Melbourne","","","","613.09","16-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Sep 16 - Melbourne to Brisbane","","","","1,023.41","17-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Sep 16 - Brisbane to Melbourne","","","","1,023.41","17-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Sep 16 - Melbourne to Canberra","","","","613.09","29-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Sep 16 - Canberra to Melbourne","","","","613.09","29-Sep-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Oct 16 - Melbourne to Canberra","","","","613.09","11-Oct-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Melbourne","","","","149.76","13-Oct-2016","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Oct 16 - Melbourne to Canberra","","","","613.09","17-Oct-2016","",""
