"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","17-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Melbourne to Canberra","","","","687.87","17-Jul-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Canberra to Melbourne","","","","687.87","18-Jul-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","689.24","28-Aug-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Melbourne","","","","689.24","02-Sep-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Melbourne to Canberra","","","","613.09","11-Sep-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Melbourne to Canberra","","","","689.24","09-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Melbourne","","","","689.24","13-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Oct 16 - Melbourne to Canberra","","","","689.24","17-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Melbourne","","","","689.24","20-Oct-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Melbourne to Canberra","","","","689.24","06-Nov-2016",""
"Russell Broadbent","Representative","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Melbourne","","","","416.12","10-Nov-2016",""
