"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","1,021.82","01-Jan-1900"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","2,823.04","01-Jan-1900"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","e-material 1 Jul 16","10,807.57","01-Jul-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","PO Box 1065 rental credit 1 Jul 16 to 31 Mar 17","-152.73","01-Jul-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 18 Feb 16","51.86","18-Feb-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 5 Apr 16","78.46","05-Apr-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 26 Apr 16","71.69","26-Apr-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","2,000 Printed items 16 May 16","695.00","16-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 16 May 16","74.96","16-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","50,000 Printed items 16 May 16","6,954.55","16-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Printing 16 May 16","850.00","16-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1,000 Printed items 16 May 16","1,920.00","16-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 23 May 16","74.18","23-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 24 May 16","1,500.00","24-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 24 May 16","1,500.00","24-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 30 May 16","73.51","30-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","57,593 Personalised letterhead stationery 30 May 16","6,178.12","30-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","57,593 Postal vote applications 30 May 16","906.66","30-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 31 May 16","1,859.04","31-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 31 May 16","309.56","31-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 31 May 16","1,859.04","31-May-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution late payment fee Jun 16","15.00","01-Jan-1900"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 1 Jun to 30 Jun 16","-31,869.53","30-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","53,848.51","30-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 1 Jun 16","1,018.18","01-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","55,000 Printed items 6 Jun 16","3,195.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","31,000 Printed items 6 Jun 16","2,880.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","25,000 Printed items 6 Jun 16","2,415.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","25,000 Printed items 6 Jun 16","11,995.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 6 Jun 16","5,400.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 6 Jun 16","7,750.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","31,000 Printed items 6 Jun 16","13,990.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","4,000 Printed items 6 Jun 16","780.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","10,000 Printed items 6 Jun 16","1,395.00","06-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 7 Jun 16","70.16","07-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 7 Jun 16","929.52","07-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 8 Jun 16","1,018.18","08-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 8 Jun 16","1,018.18","08-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 8 Jun 16","1,018.18","08-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 14 Jun 16","929.52","14-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 15 Jun 16","1,018.18","15-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 15 Jun 16","1,018.18","15-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 15 Jun 16","1,018.18","15-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 16 Jun 16","69.16","16-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 21 Jun 16","619.68","21-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 21 Jun 16","1,859.04","21-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","60,000 Printed items 22 Jun 16","2,790.00","22-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","55,000 Printed items 22 Jun 16","3,795.00","22-Jun-2016"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 22 Jun 16","3,400.00","22-Jun-2016"
