"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Jul 16","4 Jul 16","Sydney","Electorate Business","2","397.00","","794.00","03-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","24 Jul 16","Byron Bay","Electorate Business","4","258.00","","1,032.00","21-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Melbourne","Parliamentary Political Party Meeting","1","379.00","","379.00","09-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","21 Aug 16","Kingscote","Electorate Business","1","258.00","","258.00","21-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","25 Aug 16","Melbourne","Parliamentary Political Party Meeting","1","127.00","","127.00","25-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Coorabie","Electorate Business","1","268.00","","268.00","07-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Sep 16","25 Sep 16","Sydney","Treaties","1","400.00","","400.00","25-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Perth","Electorate Business","1","399.00","","399.00","28-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Oct 16","4 Oct 16","Melbourne","Education and Employment - Sen","3","382.00","","1,146.00","02-Oct-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","6 Oct 16","Melbourne","Treaties","2","382.00","","764.00","05-Oct-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","24 Oct 16","Melbourne","Education and Employment - Sen","1","382.00","","382.00","24-Oct-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","11","276.00","","3,036.00","21-Nov-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Dec 16","7 Dec 16","Sydney","Electorate Business","1","400.00","","400.00","07-Dec-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","22 Jun 16","22 Jun 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","22-Jun-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Jul 16 - Adelaide to Sydney","","","","939.69","03-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Jul 16 - Sydney to Adelaide","","","","845.59","05-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Jul 16 - Adelaide to Sydney","","","","845.59","11-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Jul 16 - Sydney to Adelaide","","","","845.59","12-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Adelaide to Sydney","","","","645.93","21-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Sydney to Coolangatta","","","","","21-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Jul 16 - Coolangatta to Sydney","","","","545.38","25-Jul-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Aug 16 - Melbourne to Adelaide","","","","775.37","04-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Adelaide to Melbourne","","","","775.37","09-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Aug 16 - Melbourne to Adelaide","","","","705.78","10-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Kingscote to Adelaide","","","","321.04","23-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Adelaide to Melbourne","","","","705.78","25-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Aug 16 - Melbourne to Adelaide","","","","705.78","26-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Adelaide to Canberra","","","","772.01","28-Aug-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Melbourne","","","","870.04","02-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Melbourne to Adelaide","","","","","02-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Sep 16 - Adelaide to Sydney","","","","845.59","05-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Sydney to Adelaide","","","","845.59","06-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Sep 16 - Adelaide to Ceduna","","","","468.95","07-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Ceduna to Adelaide","","","","468.95","08-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Adelaide to Canberra","","","","772.01","11-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Melbourne","","","","870.04","16-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Melbourne to Adelaide","","","","","16-Sep-2016",""
"Sarah Hanson-Young","Senator","","South Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Sep 16 - Adelaide to Sydney","","","","845.59","25-Sep-2016",""
