"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Coolangatta to Sydney","","","","405.05","17-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Sydney to Canberra","","","","","17-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Canberra to Melbourne","","","","411.39","18-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","416.12","28-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Melbourne","","","","689.24","01-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Melbourne to Adelaide","","","","781.51","06-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Adelaide to Melbourne","","","","781.51","06-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Melbourne to Canberra","","","","689.24","11-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Melbourne","","","","689.24","15-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Melbourne to Canberra","","","","416.12","09-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Melbourne","","","","689.24","13-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Melbourne to Canberra","","","","149.76","16-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Melbourne","","","","689.24","20-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Melbourne to Canberra","","","","416.12","06-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Melbourne","","","","689.24","10-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Melbourne to Canberra","","","","149.76","20-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Melbourne","","","","416.12","24-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Melbourne to Canberra","","","","613.09","27-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Melbourne","","","","637.91","02-Dec-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Dec 16 - Melbourne to Brisbane","","","","1,128.52","08-Dec-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Dec 16 - Brisbane to Melbourne","","","","1,128.52","09-Dec-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 4 Jul to 24 Jul 16","","","","142.13","24-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 8 Jul to 7 Aug 16","","","","1,580.09","07-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 15 Jul 16","","","","62.73","15-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 3 Aug to 18 Aug 16","","","","205.18","18-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 8 Aug to 7 Sep 16","","","","1,580.09","07-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 25 Aug to 10 Sep 16","","","","177.76","10-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 8 Sep to 7 Oct 16","","","","1,580.09","07-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 3 Oct to 23 Oct 16","","","","268.23","23-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 8 Oct to 7 Nov 16","","","","1,580.09","07-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Oct 16","","","","24.95","30-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 31 Oct to 25 Nov 16","","","","338.31","25-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 8 Nov to 7 Dec 16","","","","1,580.09","07-Dec-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 7 Dec 16","","","","76.26","07-Dec-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 28 Jul 15","","","","82.89","28-Jul-2015",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 16 Apr 16","","","","66.85","16-Apr-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 22 Apr 16","","","","69.45","22-Apr-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 17 May 16","","","","75.59","17-May-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 1 Jun 16","","","","61.15","01-Jun-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 5 Jun 16","","","","83.15","05-Jun-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 8 Jun to 7 Jul 16","","","","1,580.09","07-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 8 Jun to 27 Jun 16","","","","236.59","27-Jun-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 13 Jun 16","","","","84.01","13-Jun-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 18 Jun 16","","","","75.88","18-Jun-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Jul 16 - Canberra","","","","80.40","17-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Jul 16 - Canberra","","","","78.60","17-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Jul 16 - Canberra","","","","78.60","17-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Canberra","","","","40.00","18-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Canberra","","","","51.09","18-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Melbourne","","","","113.35","18-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","28 Aug 16 - Melbourne","","","","221.39","28-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","30 Aug 16 - Canberra","","","","40.00","30-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","1 Sep 16 - Canberra","","","","40.00","01-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","1 Sep 16 - Melbourne","","","","191.95","01-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","11 Sep 16 - Melbourne","","","","221.39","11-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","13 Sep 16 - Canberra","","","","78.60","13-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","15 Sep 16 - Melbourne","","","","190.64","15-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Oct 16 - Melbourne","","","","307.85","09-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","13 Oct 16 - Melbourne","","","","190.64","13-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","16 Oct 16 - Melbourne","","","","231.87","16-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","16 Oct 16 - Canberra","","","","78.60","16-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","20 Oct 16 - Melbourne","","","","191.95","20-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","20 Nov 16 - Melbourne","","","","230.56","20-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","24 Nov 16 - Melbourne","","","","193.26","24-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","29 Nov 16 - Canberra","","","","78.60","29-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","From 1 July 2016","","","","12 Oct 16","","","","7.77","12-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","From 1 July 2016","","","","19 Oct 16","","","","24.82","19-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","From 1 July 2016","","","","26 Nov 16","","","","27.62","26-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","50,760.40","01-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","","","","Aggregated Total","","","","2,935.24","01-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","1 Postage tape roll pack 14 Jul 16","","","","116.50","14-Jul-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Jul to 23 Aug 16","","","","126.69","23-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Jul to 23 Aug 16","","","","20.34","23-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","2 A3 display folders 20 Aug 16","","","","18.16","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","2 A4 display folders 20 Aug 16","","","","7.07","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","100 Address labels 20 Aug 16","","","","64.55","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","2 A4 display folder refills 20 Aug 16","","","","2.67","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","2 A4 display folders 20 Aug 16","","","","15.76","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","4 A3 display book page refills 20 Aug 16","","","","32.69","20-Aug-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Aug to 23 Sep 16","","","","112.83","23-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Aug to 23 Sep 16","","","","12.90","23-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Sep to 30 Sep 16","","","","10,627.50","30-Sep-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Sep to 23 Oct 16","","","","290.37","23-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Sep to 23 Oct 16","","","","9.05","23-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Oct to 31 Oct 16","","","","667.95","31-Oct-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Oct to 23 Nov 16","","","","12.77","23-Nov-2016",""
"Sarah Henderson","Representative","Corangamite","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Oct to 23 Nov 16","","","","147.23","23-Nov-2016",""
