"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Sydney","Economics - Reps","1","400.00","","400.00","21-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Oct 16","5 Oct 16","Canberra","Economics - Reps","3","276.00","","828.00","03-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Nov 16","14 Nov 16","Hobart","Electoral Matters","2","110.00","","220.00","13-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","15 Nov 16","Sydney","Electoral Matters","1","134.00","","134.00","15-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","28 Nov 16","Canberra","Sittings of Parliament","9","276.00","","2,484.00","20-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Rockhampton to Brisbane","","","","882.08","17-Jul-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Brisbane to Canberra","","","","","17-Jul-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Canberra to Brisbane","","","","882.08","18-Jul-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Brisbane to Rockhampton","","","","","18-Jul-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Aug 16 - Brisbane to Perth","","","","1,913.32","08-Aug-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Aug 16 - Perth to Brisbane","","","","1,913.32","12-Aug-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","739.64","28-Aug-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Brisbane","","","","203.37","02-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Sep 16 - Brisbane to Emerald","","","","449.66","05-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Rockhampton to Brisbane","","","","180.37","09-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","739.64","11-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","739.64","16-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Sep 16 - Brisbane to Sydney","","","","781.48","21-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Sep 16 - Sydney to Brisbane","","","","730.49","22-Sep-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Oct 16 - Brisbane to Canberra","","","","799.62","03-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Oct 16 - Canberra to Brisbane","","","","799.62","06-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","739.64","09-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Oct 16 - Canberra to Brisbane","","","","739.64","14-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Brisbane to Canberra","","","","739.64","16-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Canberra to Sydney","","","","848.04","21-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Sydney to Brisbane","","","","","21-Oct-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Brisbane to Canberra","","","","739.64","06-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Canberra to Brisbane","","","","739.64","11-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Nov 16 - Brisbane to Hobart","","","","767.73","13-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Nov 16 - Hobart to Melbourne","","","","785.17","15-Nov-2016",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Nov 16 - Melbourne to Sydney","","","","","15-Nov-2016",""
