"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","9 Aug 16","Melbourne","Parliamentary Political Party Meeting","2","379.00","","758.00","08-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","25 Aug 16","Melbourne","Parliamentary Political Party Meeting","2","379.00","","758.00","24-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Sep 16","10 Sep 16","Kalgoorlie","Electorate Business","1","313.00","","313.00","10-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Sep 16","1 Oct 16","Alice Springs","Electorate Business","2","304.00","","608.00","30-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Aug 16 - Perth to Melbourne","","","","1,946.80","08-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Perth to Melbourne","","","","1,786.14","24-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","245.30","28-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Perth","","","","1,651.31","01-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Sep 16 - Perth to Kalgoorlie","","","","384.25","10-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Kalgoorlie to Perth","","","","1,652.77","11-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Perth to Canberra","","","","","11-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Melbourne","","","","689.24","16-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Sep 16 - Melbourne to Perth","","","","1,946.80","18-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","30 Sep 16 - Perth to Alice Springs","","","","683.57","30-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Oct 16 - Alice Springs to Adelaide","","","","2,443.43","02-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Oct 16 - Adelaide to Perth","","","","","02-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Melbourne to Canberra","","","","149.76","09-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Perth","","","","821.29","13-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","8 Aug 16 - Melbourne","","","","46.12","08-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","24 Aug 16 - Melbourne","","","","46.12","24-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","1 Sep 16 - Perth","","","","43.23","01-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","10 Sep 16 - Perth","","","","78.60","10-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","16 Sep 16 - Melbourne","","","","59.22","16-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","18 Sep 16 - Perth","","","","78.60","18-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","30 Sep 16 - Perth","","","","48.47","30-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","2 Oct 16 - Perth","","","","78.60","02-Oct-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","Cabcharge","From 1 July 2016","","","","9 Aug 16","","","","24.64","09-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","Cabcharge","From 1 July 2016","","","","24 Aug 16","","","","39.51","24-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","Cabcharge","From 1 July 2016","","","","25 Aug 16","","","","14.77","25-Aug-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","Other Car Costs","From 1 July 2016","","","","Kalgoorlie 10 Sep to 11 Sep 16","","","","123.17","11-Sep-2016",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Car Costs","Other Car Costs","From 1 July 2016","","","","Alice Springs 30 Sep to 2 Oct 16","","","","153.97","02-Oct-2016",""
