"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","18-Jul-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Jul 16","26 Jul 16","Melbourne","Minister - Official Business","1","438.00","","438.00","26-Jul-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jul-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","1 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","01-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Adelaide","Minister - Official Business","1","382.00","","382.00","02-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","10 Aug 16","Brisbane","Minister - Official Business","1","430.00","","430.00","10-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","15-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","16-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Adelaide","Minister - Official Business","1","382.00","","382.00","17-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","22 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","21-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","23 Aug 16","Perth","Minister - Official Business","1","472.00","","472.00","23-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Canberra","Minister - Official Business","1","276.00","","276.00","06-Sep-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","27 Sep 16","Canberra","Minister - Official Business","2","276.00","","552.00","26-Sep-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","10-Oct-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","8 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","06-Nov-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Dec 16","6 Dec 16","Canberra","Minister - Official Business","1","276.00","","276.00","06-Dec-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Dec 16","19 Dec 16","Canberra","Minister - Official Business","2","276.00","","552.00","18-Dec-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","30 May 16","30 May 16","Adelaide","Minister - Official Business","1","382.00","","382.00","30-May-2016","",""
"Scott Morrison","Representative","Cook","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","31 May 16","31 May 16","Brisbane","Minister - Official Business","1","430.00","","430.00","31-May-2016","",""
