"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Jul 16","11 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","11-Jul-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","19 Jul 16","Canberra","Minister - Official Business","3","273.00","","819.00","17-Jul-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","21-Jul-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Jul 16","28 Jul 16","Canberra","Minister - Official Business","3","273.00","","819.00","26-Jul-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","02-Aug-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","08-Aug-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","15-Aug-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","22 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","21-Aug-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Sep 16","10 Sep 16","Canberra","Minister - Official Business","1","276.00","","276.00","10-Sep-2016","",""
"Scott Ryan","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016","",""
