"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","President of the Senate - Official Business","2","273.00","","546.00","17-Jul-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Jul 16","19 Jul 16","Sydney","President of the Senate - Official Business","1","438.00","","438.00","19-Jul-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Jul 16","22 Jul 16","Launceston","Electorate Business","1","368.00","","368.00","22-Jul-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Jul 16","1 Aug 16","Canberra","President of the Senate - Official Business","2","273.00","","546.00","31-Jul-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Launceston","Electorate Business","1","368.00","","368.00","02-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","15 Aug 16","Canberra","President of the Senate - Official Business","2","273.00","","546.00","14-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Launceston","Electorate Business","1","368.00","","368.00","16-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","25 Aug 16","Canberra","President of the Senate - Official Business","4","273.00","20.00","1,112.00","22-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","28 Aug 16","Canberra","President of the Senate - Official Business","1","276.00","","276.00","28-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","5 Sep 16","Melbourne","President of the Senate - Official Business","1","442.00","","442.00","05-Sep-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Sep 16","22 Sep 16","Canberra","President of the Senate - Official Business","1","276.00","","276.00","22-Sep-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Burnie","Minister - Official Business","1","372.00","","372.00","27-Sep-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","President of the Senate - Official Business","5","276.00","","1,380.00","16-Oct-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","24 Oct 16","Burnie","President of the Senate - Official Business","1","372.00","","372.00","24-Oct-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Oct 16","25 Oct 16","St Helens","Electorate Business","1","268.00","","268.00","25-Oct-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Nov 16","5 Nov 16","Launceston","Parliamentary Political Party Meeting","2","372.00","","744.00","04-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","11 Nov 16","Melbourne","President of the Senate - Official Business","1","442.00","","442.00","11-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","16 Nov 16","Canberra","President of the Senate - Official Business","2","276.00","","552.00","15-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Dec 16","4 Dec 16","Canberra","President of the Senate - Official Business","1","276.00","","276.00","04-Dec-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Dec 16","6 Dec 16","Launceston","Electorate Business","1","372.00","","372.00","06-Dec-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Dec 16","11 Dec 16","Melbourne","President of the Senate - Official Business","1","442.00","","442.00","11-Dec-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Dec 16","14 Dec 16","Launceston","Electorate Business","1","372.00","","372.00","14-Dec-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","25 Jun 16","25 Jun 16","Ulverstone","Electorate Business","1","368.00","","368.00","25-Jun-2016",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","28 Jun 16","28 Jun 16","Launceston","Electorate Business","1","368.00","","368.00","28-Jun-2016",""
