"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","24 Aug 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","23-Aug-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","2 Sep 16","Canberra","Sittings of Parliament","6","276.00","","1,656.00","28-Aug-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Sydney","Health - Reps","1","400.00","","400.00","14-Nov-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","21-Nov-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Adelaide to Melbourne","","","","686.61","21-Jul-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Melbourne to Canberra","","","","","21-Jul-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Adelaide","","","","","22-Jul-2016",""
"Steve Georganas","Representative","Hindmarsh","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Adelaide to Canberra","","","","772.01","15-Aug-2016",""
