"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","22-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Senate Estimates","5","276.00","","1,380.00","16-Oct-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","24 Oct 16","Canberra","Economics - Sen","1","276.00","","276.00","24-Oct-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Oct 16","1 Nov 16","Sydney","Community Affairs","2","400.00","","800.00","31-Oct-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Adelaide to Canberra","","","","202.81","22-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Melbourne","","","","336.49","25-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Melbourne to Adelaide","","","","","25-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Adelaide to Melbourne","","","","507.10","28-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","","28-Aug-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Adelaide","","","","202.81","01-Sep-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Adelaide to Canberra","","","","202.81","11-Sep-2016",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Sydney","","","","505.72","16-Sep-2016",""
