"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Canberra","Electorate Business","1","273.00","","273.00","09-Aug-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","10 Aug 16","Melbourne","Electorate Business","1","379.00","","379.00","10-Aug-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Aug 16","27 Aug 16","Brisbane","Parliamentary Political Party Meeting","2","408.00","","816.00","26-Aug-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Adelaide","Electorate Business","1","362.00","","362.00","07-Sep-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Sep 16","15 Sep 16","Sydney","Electorate Business","1","400.00","","400.00","15-Sep-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","26 Sep 16","Sydney","Chair Parl Committee on Committee","1","400.00","","400.00","26-Sep-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Perth","Chair Parl Committee on Committee","1","399.00","","399.00","04-Oct-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","6 Oct 16","Melbourne","Chair Parl Committee on Committee","2","382.00","","764.00","05-Oct-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
