"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Brisbane to Canberra","","","","799.62","15-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Brisbane","","","","799.62","17-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","799.62","28-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Brisbane","","","","799.62","02-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","289.27","11-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Brisbane","","","","799.62","15-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","739.64","09-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Oct 16 - Canberra to Brisbane","","","","739.64","14-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Brisbane to Canberra","","","","739.64","16-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Brisbane","","","","799.62","20-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Brisbane to Canberra","","","","203.37","06-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Canberra to Brisbane","","","","289.27","11-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Brisbane to Canberra","","","","203.37","20-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Brisbane to Canberra","","","","476.06","27-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Brisbane","","","","476.06","02-Dec-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Buderim to Brisbane Airport 6 Nov 16","","","","59.40","06-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Brisbane Airport to Buderim 11 Nov 16","","","","59.40","11-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Buderim to Brisbane 20 Nov 16","","","","59.40","20-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Brisbane to Buderim 25 Nov 16","","","","59.40","25-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Buderim to Brisbane 27 Nov 16","","","","59.40","27-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Brisbane to Buderim 2 Dec 16","","","","59.40","02-Dec-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","15 Aug 16 - Brisbane","","","","172.92","15-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","15 Aug 16 - Canberra","","","","41.80","15-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","17 Aug 16 - Brisbane","","","","190.31","17-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","28 Aug 16 - Brisbane","","","","180.78","28-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","2 Sep 16 - Brisbane","","","","182.45","02-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","11 Sep 16 - Brisbane","","","","191.26","11-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","13 Sep 16 - Canberra","","","","40.00","13-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","14 Sep 16 - Canberra","","","","40.00","14-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","15 Sep 16 - Brisbane","","","","179.73","15-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Oct 16 - Brisbane","","","","182.09","09-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","14 Oct 16 - Brisbane","","","","196.96","14-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","16 Oct 16 - Brisbane","","","","179.47","16-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","20 Oct 16 - Brisbane","","","","187.33","20-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","11 Nov 16 - Canberra","","","","40.00","11-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","23 Nov 16 - Canberra","","","","40.00","23-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","24 Nov 16 - Canberra","","","","40.00","24-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","27 Nov 16 - Canberra","","","","80.40","27-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","2 Dec 16 - Canberra","","","","78.60","02-Dec-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Parking","From 1 July 2016","","","","Parking between 6 Nov and 12 Nov 16","","","","130.00","12-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Parking","From 1 July 2016","","","","Parking between 20 Nov and 25 Nov 16","","","","120.91","25-Nov-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","64,659.17","01-Jan-1900",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Aug to 31 Aug 16","","","","584.69","31-Aug-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Software reimbursement 2016/17","","","","25.50","01-Jan-1900",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Software reimbursement 2016/17","","","","2,318.18","01-Jan-1900",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Aug to 23 Sep 16","","","","1.30","23-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Aug to 23 Sep 16","","","","11.84","23-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","1 Digital projector 7 Sep 16","","","","824.44","07-Sep-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Sep to 23 Oct 16","","","","6.44","23-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Sep to 23 Oct 16","","","","41.33","23-Oct-2016",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Oct to 31 Oct 16","","","","1,990.54","31-Oct-2016",""
