"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Jul 16","8 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","08-Jul-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Jul 16","22 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","22-Jul-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Karratha","Shadow Parliamentary Secretary - Official","1","498.00","","498.00","02-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jan-1900",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","23 Aug 16","Melbourne","Shadow Parliamentary Secretary - Official","1","379.00","","379.00","23-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jan-1900",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","24-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Parliamentary Political Party Meeting","1","400.00","","400.00","08-Sep-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Sep 16","23 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Sep-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","18 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","16-Oct-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","21-Nov-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Adelaide to Canberra","","","","859.66","22-Jul-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Jul 16 - Canberra to Sydney","","","","1,679.45","23-Jul-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Jul 16 - Sydney to Perth","","","","","23-Jul-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Aug 16 - Perth to Karratha","","","","602.45","02-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Newman to Perth","","","","839.79","03-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Aug 16 - Perth to Kalgoorlie","","","","533.98","08-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Kalgoorlie to Perth","","","","378.34","09-Aug-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Perth to Sydney","","","","1,679.45","15-Aug-2016",""
