"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Jul 16","11 Jul 16","Melbourne","Former Prime Minister - Official Business","1","438.00","","438.00","11-Jul-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Jul 16","31 Jul 16","Melbourne","Former Prime Minister - Official Business","1","438.00","","438.00","31-Jul-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Canberra","Former Prime Minister - Official Business","1","273.00","","273.00","02-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","8 Aug 16","Melbourne","Former Prime Minister - Official Business","2","438.00","","876.00","07-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Canberra","Former Prime Minister - Official Business","1","273.00","","273.00","09-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Aug 16","12 Aug 16","Adelaide","Former Prime Minister - Official Business","1","382.00","","382.00","12-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Melbourne","Former Prime Minister - Official Business","1","438.00","","438.00","22-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Brisbane","Former Prime Minister - Official Business","1","430.00","","430.00","27-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016","",""
"Tony Abbott","Representative","Warringah","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Sep 16","3 Sep 16","Perth","Former Prime Minister - Official Business","2","442.00","","884.00","02-Sep-2016","",""
