"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","24-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Nov 16","5 Nov 16","Melbourne","Shadow Minister - Official Business","1","382.00","","382.00","05-Nov-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Nov-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Dec 16","5 Dec 16","Melbourne","Shadow Minister - Official Business","1","382.00","","382.00","05-Dec-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Dec 16","14 Dec 16","Melbourne","Shadow Minister - Official Business","2","382.00","","764.00","13-Dec-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Sydney to Canberra","","","","121.30","22-Jul-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Sydney","","","","526.99","22-Jul-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Sydney to Melbourne","","","","698.76","03-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Aug 16 - Melbourne to Sydney","","","","698.76","04-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Sydney to Canberra","","","","526.99","17-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Sydney","","","","161.04","17-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Sydney to Melbourne","","","","730.58","22-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Melbourne to Sydney","","","","730.58","22-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Sydney to Canberra","","","","121.30","24-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Sydney","","","","334.35","25-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Aug 16 - Sydney to Canberra","","","","526.99","29-Aug-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Sydney to Coolangatta","","","","545.38","06-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Sep 16 - Coolangatta to Sydney","","","","545.38","06-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Sydney to Canberra","","","","526.99","08-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Canberra to Sydney","","","","121.30","08-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Sydney","","","","334.35","15-Sep-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Sydney","","","","526.99","13-Oct-2016",""
"Tony Burke","Representative","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Sydney","","","","526.99","20-Oct-2016",""
