"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Pinnaroo","Electorate Business","1","258.00","","258.00","16-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Aug 16","19 Aug 16","Murray Bridge","Electorate Business","1","258.00","","258.00","19-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Barmera","Electorate Business","1","258.00","","258.00","22-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Barmera","Electorate Business","1","258.00","","258.00","27-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","5 Sep 16","Barmera","Electorate Business","1","268.00","","268.00","05-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","16 Sep 16","Glossop","Electorate Business","1","268.00","","268.00","16-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","27 Sep 16","Loxton","Electorate Business","2","268.00","","536.00","26-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Murray Bridge","Electorate Business","1","268.00","","268.00","28-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Oct 16","27 Oct 16","Murray Bridge","Electorate Business","3","268.00","","804.00","25-Oct-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Nov 16","5 Nov 16","Renmark","Electorate Business","1","286.00","","286.00","05-Nov-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","30 May 16","30 May 16","Murray Bridge","Electorate Business","1","258.00","","258.00","30-May-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","10 Jun 16","10 Jun 16","Murray Bridge","Electorate Business","1","258.00","","258.00","10-Jun-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","27 Jun 16","28 Jun 16","Murray Bridge","Electorate Business","2","258.00","","516.00","27-Jun-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Mount Gambier to Melbourne","","","","416.00","17-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Melbourne to Canberra","","","","245.30","17-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Canberra to Melbourne","","","","245.30","19-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Melbourne to Mount Gambier","","","","416.00","19-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Adelaide to Mount Gambier","","","","40.00","27-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","30 Jul 16 - Mount Gambier to Adelaide","","","","40.00","30-Jul-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Aug 16 - Adelaide to Mount Gambier","","","","426.45","10-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Aug 16 - Mount Gambier to Adelaide","","","","426.45","10-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Adelaide to Mount Gambier","","","","431.45","18-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Mount Gambier to Adelaide","","","","431.45","18-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Adelaide to Canberra","","","","861.02","28-Aug-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Adelaide","","","","861.02","02-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Adelaide to Canberra","","","","861.02","11-Sep-2016",""
"Tony Pasin","Representative","Barker","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Adelaide","","","","772.01","15-Sep-2016",""
