"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","8 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","07-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Melbourne","Electorate Business","1","379.00","","379.00","12-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Jul 16","25 Jul 16","Canberra","Shadow Parliamentary Secretary - Official","1","273.00","","273.00","25-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Jul 16","28 Jul 16","Darwin","Electorate Business","1","438.00","","438.00","28-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Jul 16","30 Jul 16","Nhulunbuy","Electorate Business","2","258.00","","516.00","29-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Jul 16","31 Jul 16","Cairns","Electorate Business","1","291.00","","291.00","31-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","3 Aug 16","Melbourne","Shadow Parliamentary Secretary - Official","2","379.00","","758.00","02-Aug-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016","",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","10 Aug 16","Darwin","Electorate Business","2","438.00","","876.00","09-Aug-2016","",""
