"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","08-Aug-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","10 Aug 16","Melbourne","Assistant Minister - Official Business","1","438.00","","438.00","10-Aug-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Aug 16","13 Aug 16","Perth","Assistant Minister - Official Business","3","472.00","","1,416.00","11-Aug-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Adelaide","Assistant Minister - Official Business","1","386.00","","386.00","06-Sep-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","07-Sep-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Sep 16","22 Sep 16","Sydney","Assistant Minister - Official Business","1","442.00","","442.00","22-Sep-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","28 Sep 16","Darwin","Assistant Minister - Official Business","3","464.00","","1,392.00","26-Sep-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Oct 16","18 Oct 16","Adelaide","Assistant Minister - Official Business","1","386.00","","386.00","18-Oct-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Oct 16","21 Oct 16","Brisbane","Assistant Minister - Official Business","1","434.00","","434.00","21-Oct-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Oct 16","22 Oct 16","Sydney","Assistant Minister - Official Business","1","442.00","","442.00","22-Oct-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","3 Nov 16","Sydney","Assistant Minister - Official Business","2","442.00","","884.00","02-Nov-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Nov 16","4 Nov 16","Launceston","Parliamentary Political Party Meeting","1","372.00","","372.00","04-Nov-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Nov 16","5 Nov 16","Melbourne","Assistant Minister - Official Business","1","442.00","","442.00","05-Nov-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Brisbane","Assistant Minister - Official Business","1","434.00","","434.00","17-Nov-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Nov 16","26 Nov 16","Adelaide","Assistant Minister - Official Business","1","129.00","","129.00","26-Nov-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Dec 16","5 Dec 16","Darwin","Assistant Minister - Official Business","2","464.00","","928.00","04-Dec-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Dec 16","6 Dec 16","Alice Springs","Assistant Minister - Official Business","1","372.00","","372.00","06-Dec-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Dec 16","12 Dec 16","Hobart","Assistant Minister - Official Business","1","372.00","","372.00","12-Dec-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Daily Expense Allowance","From 1 July 2016","30 Aug 16","1 Sep 16","Parl House","Sittings of Parliament","3","87.00","","134.00","30-Aug-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Daily Expense Allowance","From 1 July 2016","12 Sep 16","15 Sep 16","Parl House","Sittings of Parliament","4","87.00","","178.00","12-Sep-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Daily Expense Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Parl House","Sittings of Parliament","4","87.00","","178.00","10-Oct-2016",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Daily Expense Allowance","From 1 July 2016","7 Nov 16","10 Nov 16","Parl House","Sittings of Parliament","4","87.00","","178.00","07-Nov-2016",""
