"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Jan 17","17 Jan 17","Adelaide","Assistant Minister - Official Business","1","129.00","129.00","17-Jan-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Jan 17","19 Jan 17","Adelaide","Assistant Minister - Official Business","1","129.00","129.00","19-Jan-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","24-Jan-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Jan 17","26 Jan 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","26-Jan-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","5 Feb 17","Canberra","Assistant Minister - Official Business","1","276.00","276.00","05-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Feb 17","11 Feb 17","Brisbane","Assistant Minister - Official Business","2","434.00","868.00","10-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Feb 17","17 Feb 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","17-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Feb 17","18 Feb 17","Kingston Se","Electorate Business","1","372.00","372.00","18-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Mt Gambier","Electorate Business","1","372.00","372.00","19-Feb-2017","",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","20-Feb-2017","",""
