"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Hobart","Electorate Business","1","330.00","330.00*","02-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Adelaide","Resilience of Electricity Infrastructure in a Warming","1","362.00","362.00*","19-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","World","","","","01-Jan-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Hobart","Environment and Communications","1","330.00","330.00*","20-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Mar 17","9 Mar 17","Darwin","Environment and Communications","1","441.00","441.00*","09-Mar-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Queenstown","Electorate Business","1","286.00","286.00*","14-Mar-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","16 Mar 17","Sydney","Environment and Communications","2","400.00","800.00*","15-Mar-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","*","","","","","","","01-Jan-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","Incorrect rate paid.","Balance of claim to be reflected in a subsequent reporting period.","","","","","01-Jan-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Dec 16","20 Dec 16","Queenstown","Electorate Business","1","286.00","286.00*","20-Dec-2016",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","*","","","","","","","01-Jan-2017",""
"Anne Urquhart","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","","Incorrect rate paid.","Balance of claim to be reflected in a subsequent reporting period.","","","","","01-Jan-2017",""
