"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Jan 17","19 Jan 17","Cairns","Electorate Business","1","307.00","307.00","19-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Jan 17","20 Jan 17","Innisfail","Electorate Business","1","286.00","286.00","20-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Jan 17","21 Jan 17","Mareeba","Electorate Business","1","268.00","268.00","21-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Canberra","Official Government or Vice-Regal Function","1","276.00","276.00","30-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Melbourne","Electorate Business","1","382.00","382.00","01-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Sydney","Electorate Business","1","400.00","400.00","02-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","5 Feb 17","Sydney","Electorate Business","1","400.00","400.00","05-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","24 Feb 17","Cairns","Electorate Business","2","307.00","614.00","23-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","9 Dec 16","9 Dec 16","Cairns","Electorate Business","1","307.00","307.00","09-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","12 Dec 16","12 Dec 16","Mareeba","Electorate Business","1","268.00","268.00","12-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","13 Dec 16","13 Dec 16","Cairns","Electorate Business","1","307.00","307.00","13-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Dec 16","20 Dec 16","Mount Isa","Electorate Business","1","314.00","314.00","20-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Jan 17 - Brisbane to Townsville","","","514.23","11-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Jan 17 - Townsville to Cairns","","","339.92","19-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Townsville to Mount Isa","","","514.13","24-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Townsville to Brisbane","","","652.71","30-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Brisbane to Canberra","","","","30-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Canberra to Brisbane","","","478.43","31-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Melbourne","","","647.01","01-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Melbourne to Sydney","","","449.33","02-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Brisbane","","","462.60","03-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Townsville","","","514.23","03-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Townsville to Brisbane","","","608.53","05-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Sydney","","","","05-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","341.03","06-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Brisbane","","","478.43","09-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Brisbane to Townsville","","","514.23","10-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Townsville to Sydney","","","315.30","12-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","","12-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Brisbane","","","478.43","16-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Brisbane to Townsville","","","514.23","17-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Townsville to Mount Isa","","","534.22","20-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Mount Isa to Brisbane","","","501.03","21-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Brisbane to Townsville","","","534.32","21-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Townsville to Cairns","","","458.20","23-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Feb 17 - Cairns to Townsville","","","352.92","25-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Townsville to Brisbane","","","678.12","26-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","","26-Feb-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Brisbane","","","497.34","02-Mar-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Brisbane to Townsville","","","534.32","04-Mar-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Townsville to Brisbane","","","678.12","19-Mar-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","","19-Mar-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Sydney","","","354.03","23-Mar-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","29 Aug 16 - Cairns to Townsville","","","-339.92","29-Aug-2016","Refund"
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","4 Dec 16 - Townsville to Mount Isa","","","514.13","04-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","5 Dec 16 - Mount Isa to Townsville","","","514.13","05-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Mount Isa to Doomadgee","","","40.00","06-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Townsville to Brisbane","","","652.71","06-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Brisbane to Canberra","","","","06-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Doomadgee to Mount Isa","","","40.00","06-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","9 Dec 16 - Armidale to Sydney","","","321.12","09-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","9 Dec 16 - Sydney to Cairns","","","","09-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Townsville to Cairns","","","339.92","12-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","20 Dec 16 - Townsville to Mount Isa","","","514.13","20-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","20 Dec 16 - Mount Isa to Doomadgee","","","277.87","20-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","20 Dec 16 - Doomadgee to Mount Isa","","","277.87","20-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","21 Dec 16 - Mount Isa to Townsville","","","514.13","21-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","23 Dec 16 - Townsville to Brisbane","","","514.23","23-Dec-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Charter","Electorate","From 1 January 2017","","","","Charters Towers to Townsville 14 Jan 17","","","402.73","14-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Charter","Electorate","From 1 January 2017","","","","Mareeba to Charters Towers 22 Jan 17","","","1,540.91","22-Jan-2017",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Charter","Electorate","From 1 January 2017","","","","Charters Towers to Ingham 24 Jan 17","","","1,350.00","24-Jan-2017",""
