"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","4 Feb 17","Canberra","Parliamentary Political Party Meeting","1","276.00","276.00","04-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","7 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","05-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","2 Dec 16","Canberra","Sittings of Parliament","13","276.00","3,588.00","20-Nov-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Townsville to Palm Island","","","279.48","24-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Palm Island to Townsville","","","","24-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Townsville to Sydney","","","315.30","04-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Sydney to Canberra","","","","04-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Feb 17 - Canberra to Brisbane","","","1,184.79","08-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Feb 17 - Brisbane to Townsville","","","","08-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Townsville to Brisbane","","","1,243.43","26-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","","26-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Mar 17 - Townsville to Brisbane","","","280.91","18-Mar-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","839.17","19-Mar-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Palm Island to Palm Island","","","263.64","24-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Dec 17 - Palm Island to Palm Island","","","263.64","12-Dec-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Brisbane","","","1,184.79","02-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Brisbane to Townsville","","","","02-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Townsville to Palm Island","","","254.07","12-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Palm Island to Townsville","","","","12-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 13 Jan to 12 Feb 17","","","1,018.26","12-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 23 Jan to 20 Feb 17","","","206.97","20-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan 17","","","0.68","31-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 13 Feb 17","","","85.71","13-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 13 Feb to 12 Mar 17","","","1,018.26","12-Mar-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 24 Aug 16","","","71.00","24-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Additional maintenance 28 Oct 16","","","603.99","28-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 12 Nov 16","","","75.92","12-Nov-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 13 Nov to 12 Dec 16","","","1,018.26","12-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Accident excess 18 Nov 16","","","500.00","18-Nov-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 10 Dec to 24 Dec 16","","","296.35","24-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 13 Dec 16 to 12 Jan 17","","","1,018.26","13-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 31 Dec 16 to 10 Jan 17","","","285.37","31-Dec-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Canberra","","","92.19","04-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","78.60","05-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","78.60","03-Mar-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Mar 17 - Canberra","","","40.00","22-Mar-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","4 Feb 17","","","24.62","04-Feb-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","25,309.04","01-Jan-1900",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,547.73","01-Jan-1900",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","3,118.10","31-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","3,000 Pens 11 Jan 17","","","1,635.45","11-Jan-2017",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","318.40","23-Feb-2017",""
