"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Devonport","Parliamentary Political Party Meeting","1","299.00","299.00","23-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Melbourne","Economics - Sen","1","382.00","382.00","24-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Melbourne","Economics - Sen","1","382.00","382.00","01-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Brisbane to Melbourne","","","1,461.40","23-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Melbourne to Devonport","","","","23-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Devonport to Melbourne","","","338.41","24-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Melbourne to Brisbane","","","1,023.41","25-Jan-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Melbourne","","","1,023.41","01-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Melbourne to Brisbane","","","1,128.52","02-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","739.64","05-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","799.62","10-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","799.62","12-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","628.69","17-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Brisbane","","","768.67","17-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Brisbane to Sydney","","","768.67","24-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Brisbane","","","884.56","24-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Feb 17 - Brisbane to Canberra","","","739.64","28-Feb-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","289.27","03-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Brisbane to Mackay","","","610.19","07-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Mackay to Brisbane","","","426.91","07-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Brisbane to Melbourne","","","1,184.42","13-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Melbourne to Brisbane","","","1,184.42","14-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Brisbane to Gladstone","","","437.95","17-Mar-2017",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Gladstone to Brisbane","","","437.95","17-Mar-2017",""
