"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","13 Feb 17","Canberra","Sittings of Parliament","2","276.00","552.00","12-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","2","276.00","552.00","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Darwin","Human Rights","1","441.00","441.00","19-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","21 Feb 17","Cairns","Electorate Business","2","307.00","614.00","20-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Melbourne","Shadow Minister - Official Business","1","382.00","382.00","22-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","23-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Canberra","Foreign Affairs, Defence and Trade - JSC","1","276.00","276.00","06-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Canberra","Community Affairs","1","276.00","276.00","08-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Mar 17","9 Mar 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","09-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Canberra","Foreign Affairs, Defence and Trade - Sen","1","276.00","276.00","14-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","110.13","01-Jan-2017","OS Delegation - Accommodation and meals",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-2017","OS Delegation - Equipment allowance",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,048.27","01-Jan-2017","OS Delegation - Fares",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","200.00","01-Jan-2017","OS Delegation - Travel advance",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Brisbane to Sydney","","","842.96","27-Jan-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Canberra","","","121.30","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Canberra to Brisbane","","","799.62","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","728.50","05-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","401.98","10-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","799.62","12-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Feb 17 - Canberra to Brisbane","","","799.62","14-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Feb 17 - Brisbane to Townsville","","","856.33","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Feb 17 - Townsville to Brisbane","","","1,184.79","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Feb 17 - Brisbane to Canberra","","","","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","799.62","17-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Brisbane to Darwin","","","1,369.63","19-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Darwin to Cairns","","","559.48","20-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Cairns to Brisbane","","","1,209.31","22-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Brisbane to Melbourne","","","","22-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Melbourne to Sydney","","","883.94","23-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Brisbane","","","884.56","24-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","839.17","26-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","839.17","03-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Mar 17 - Brisbane to Canberra","","","839.17","06-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Canberra to Brisbane","","","839.17","07-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Brisbane to Canberra","","","839.17","08-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Canberra to Sydney","","","354.03","09-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Sydney to Brisbane","","","884.56","10-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Brisbane to Canberra","","","839.17","14-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Brisbane","","","739.64","15-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","839.17","19-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","11 Dec 16 - Brisbane to Canberra","","","799.62","11-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Canberra to Sydney","","","334.35","13-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","14 Dec 16 - Sydney to Brisbane","","","815.57","14-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 30 Jan to 27 Feb 17","","","1,134.02","27-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Feb to 25 Feb 17","","","255.56","25-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 15 Feb 17","","","0.68","15-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 28 Feb to 29 Mar 17","","","1,134.02","29-Mar-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 11 Nov to 23 Nov 16","","","100.02","23-Nov-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 15 Nov 16","","","0.34","15-Nov-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 30 Nov to 29 Dec 16","","","1,134.02","29-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 2 Dec to 23 Dec 16","","","260.41","23-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 7 Dec to 15 Dec 16","","","1.02","15-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 29 Dec 16 to 25 Jan 17","","","275.28","29-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 30 Dec 16 to 29 Jan 17","","","1,134.02","30-Dec-2016","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Jan 17 - Brisbane","","","83.90","14-Jan-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Brisbane","","","51.00","20-Jan-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Jan 17 - Brisbane","","","45.30","27-Jan-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Sydney","","","43.80","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Canberra","","","80.40","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Canberra","","","40.00","03-Feb-2017","",""
"Claire Moore","Senator","","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Canberra","","","40.00","03-Feb-2017","",""
