"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","22 Jan 17","Brisbane","Electorate Business","1","90.00","90.00","22-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Moree","Electorate Business","1","268.00","268.00","23-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Walgett","Electorate Business","1","268.00","268.00","24-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Canberra","Parliamentary Political Party Meeting","1","276.00","276.00","01-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Melbourne to Brisbane","","","647.01","22-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Dubbo to Sydney","","","665.51","25-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Sydney to Melbourne","","","","25-Jan-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Canberra","","","422.03","01-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Canberra to Melbourne","","","422.03","02-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","422.03","06-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Melbourne","","","422.03","09-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","422.03","12-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","422.03","16-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","438.57","26-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","438.57","02-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","438.57","19-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","27 Jan to 26 Feb 17","","","952.86","26-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 11 Feb to 22 Feb 17","","","207.95","22-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Feb to 26 Mar 17","","","952.86","26-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 2 Dec to 26 Dec 16","","","349.72","26-Dec-2016",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 16 Dec 16 to 29 Jan 17","","","374.24","16-Dec-2016",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 27 Dec 16 to 26 Jan 17","","","952.86","27-Dec-2016",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Melbourne","","","273.79","01-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Canberra","","","41.80","01-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Melbourne","","","261.38","02-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Melbourne","","","259.38","06-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Melbourne","","","298.06","09-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Melbourne","","","264.62","12-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Canberra","","","40.00","15-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Melbourne","","","275.79","16-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Melbourne","","","284.27","26-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Melbourne","","","291.51","02-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Melbourne","","","281.03","24-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","30 Mar 17 - Melbourne","","","97.21","30-Mar-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Cabcharge","From 1 January 2017","","","","21 Feb 17","","","11.13","21-Feb-2017",""
"Damian Drum","Representative","Murray","Victoria","The Nationals","Car Costs","Cabcharge","From 1 January 2017","","","","21 Feb 17","","","8.63","21-Feb-2017",""
