"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Jan 17","6 Jan 17","Melbourne","Minister - Official Business","1","442.00","442.00","06-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Jan 17","17 Jan 17","Melbourne","Minister - Official Business","3","442.00","1,326.00","15-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Jan 17","20 Jan 17","Melbourne","Minister - Official Business","2","442.00","884.00","19-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Albany","Minister - Official Business","1","372.00","372.00","23-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Westonia","Minister - Official Business","1","372.00","372.00","24-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","25 Jan 17","25 Jan 17","Traralgon","Electorate Business","1","372.00","372.00","25-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","31 Jan 17","Canberra","Minister - Official Business","2","276.00","552.00","30-Jan-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Melbourne","Electorate Business","1","442.00","442.00","01-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Morwell","Electorate Business","1","372.00","372.00","02-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Melbourne","Minister - Official Business","1","442.00","442.00","19-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","20-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Melbourne","Minister - Official Business","1","442.00","442.00","21-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","22-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Orange","Minister - Official Business","1","372.00","372.00","23-Feb-2017",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
