"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","20-Nov-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","27-Nov-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","2 Dec 16","2 Dec 16","Canberra","Electorate Business","1","276.00","276.00","02-Dec-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","19 Dec 16","20 Dec 16","Perth","Electorate Business","2","399.00","798.00","19-Dec-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Sydney to Brisbane","","","164.75","04-Feb-2017",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Sydney","","","164.75","05-Feb-2017",""
