"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Jan 17 - Melbourne to Sydney","","","756.04","02-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Jan 17 - Sydney to Melbourne","","","756.04","03-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Sydney to Melbourne","","","756.04","23-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Melbourne to Canberra","","","637.91","04-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","637.91","10-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","637.91","12-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","751.97","17-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","637.91","26-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Melbourne to Brisbane","","","1,023.41","13-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Brisbane to Canberra","","","739.64","14-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Canberra to Sydney","","","554.99","16-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","637.91","19-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Canberra to Melbourne","","","637.91","12-Dec-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","22 Dec 16 - Melbourne to Sydney","","","756.04","22-Dec-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","23 Dec 16 - Sydney to Melbourne","","","756.04","23-Dec-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Jan 17 - Sydney","","","88.60","02-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Jan 17 - Sydney","","","40.00","03-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Canberra","","","107.91","04-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Canberra","","","78.60","04-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","78.60","05-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","78.60","05-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Canberra","","","80.40","12-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Canberra","","","80.40","26-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Mar 17 - Brisbane","","","50.90","13-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Brisbane","","","40.00","14-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Brisbane","","","45.91","14-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Canberra","","","41.80","14-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","40.00","15-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Canberra","","","40.00","16-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Sydney","","","82.40","16-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Sydney","","","40.00","16-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Mar 17 - Sydney","","","87.77","17-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Canberra","","","80.40","19-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Canberra","","","80.40","26-Mar-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","Before 1 January 2017","","","","3 Nov 16 - Sydney","","","45.85","03-Nov-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","COMCAR","Before 1 January 2017","","","","23 Dec 16 - Sydney","","","40.00","23-Dec-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","1 Nov to 30 Nov 16","","","","30-Nov-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","","","","1,067.47","01-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","1 Dec to 31 Dec 16","","","","31-Dec-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","","","","991.70","01-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","30 Jan 17","","","74.71","30-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","30 Jan 17","","","8.44","30-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","30 Jan 17","","","13.33","30-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","14 Feb 17","","","10.08","14-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","14 Feb 17","","","10.74","14-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","14 Feb 17","","","8.25","14-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","From 1 January 2017","","","","15 Feb 17","","","9.21","15-Feb-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Car Costs","Cabcharge","Before 1 January 2017","","","","1 Oct to 31 Oct 16","","","2,343.06","31-Oct-2016",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","21,669.32","01-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","1,385.52","01-Jan-2017",""
"Derryn Hinch","Senator","","Victoria","Derryn Hinch's Justice Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","133.13","31-Jan-2017",""
