"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Bunbury","Minister - Official Business","1","372.00","372.00","02-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Mar 17","3 Mar 17","Geraldton","Minister - Official Business","1","372.00","372.00","03-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Mar 17","4 Mar 17","Perth","Minister - Official Business","1","442.00","442.00","04-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Mar 17","5 Mar 17","Broome","Minister - Official Business","1","437.00","437.00","05-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Christmas Island","Minister - Official Business","1","372.00","372.00","06-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Cocos (Keeling)","Minister - Official Business","1","462.00","462.00","07-Mar-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","Islands","","","","","01-Jan-2017","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","13 Dec 16","15 Dec 16","Canberra","Minister - Official Business","3","276.00","828.00","13-Dec-2016","",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,290.00","01-Jan-2017","OS Ministerial - Equipment allowance",""
"Fiona Nash","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
