"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Canberra","Minister - Official Business","1","276.00","276.00","23-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","31 Jan 17","Canberra","Minister - Official Business","3","276.00","828.00","29-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Feb 17","16 Feb 17","Perth","Minister - Official Business","1","442.00","442.00","16-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","21 Feb 17","Sydney","Minister - Official Business","2","442.00","884.00","20-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Canberra","Minister - Official Business","1","276.00","276.00","22-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","8 Mar 17","Canberra","Minister - Official Business","2","276.00","552.00","07-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Mar 17","9 Mar 17","Sydney","Minister - Official Business","1","442.00","442.00","09-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Mar 17","24 Mar 17","Sydney","Minister - Official Business","1","442.00","442.00","24-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","22 Jun 16","23 Jun 16","Perth","Minister - Official Business","2","472.00","944.00","22-Jun-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","19 Dec 16","19 Dec 16","Canberra","Minister - Official Business","1","276.00","276.00","19-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Dec 16","20 Dec 16","Sydney","Minister - Official Business","1","442.00","442.00","20-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,633.26","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","13,578.21","01-Jan-2017","OS Ministerial - Fares",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","126.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","45.41","01-Jan-2017","OS Ministerial - Related travel expenses",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","19.62","01-Jan-2017","OS Ministerial - Travel advance",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","405.96","01-Jan-2017","OS Ministerial - Fares",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","7,016.50","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","34,951.78","01-Jan-2017","OS Ministerial - Fares",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","1,869.93","01-Jan-2017","OS Ministerial - Ground transport",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","16.98","01-Jan-2017","OS Ministerial - Related travel expenses",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","35,410.20","01-Jan-2017","OS Ministerial - Fares",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","441.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","674.76","01-Jan-2017","OS Ministerial - Travel advance",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Brisbane to Canberra","","","799.62","23-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Canberra to Brisbane","","","799.62","24-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Brisbane to Canberra","","","799.62","29-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Sydney","","","341.03","01-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Brisbane","","","842.96","03-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","799.62","05-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","716.51","10-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Brisbane","","","1,128.52","10-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","739.64","12-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Perth","","","1,685.91","16-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Perth to Brisbane","","","2,118.37","17-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Brisbane to Sydney","","","842.96","20-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Canberra","","","354.03","22-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Canberra to Sydney","","","354.03","23-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Sydney to Brisbane","","","884.56","23-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Sydney","","","884.56","26-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","659.37","03-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Sydney to Brisbane","","","884.56","03-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Brisbane to Canberra","","","839.17","07-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Canberra to Sydney","","","354.03","09-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Sydney to Brisbane","","","884.56","10-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Mar 17 - Brisbane to Sydney","","","884.56","12-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Sydney to Canberra","","","354.03","20-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","5 Dec 16 - Sydney to Canberra","","","334.35","05-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","5 Dec 16 - Canberra to Melbourne","","","689.24","05-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Sydney to Canberra","","","334.35","12-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Canberra to Brisbane","","","799.62","13-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","19 Dec 16 - Brisbane to Canberra","","","799.62","19-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","20 Dec 16 - Canberra to Sydney","","","121.30","20-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","21 Dec 16 - Sydney to Brisbane","","","815.57","21-Dec-2016","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 7 Jan to 20 Jan 17","","","208.33","20-Jan-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Jan to 26 Feb 17","","","315.83","26-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 4 Feb to 19 Feb 17","","","150.05","19-Feb-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Feb to 26 Mar 17","","","315.83","26-Mar-2017","",""
"George Brandis","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Accident excess 2 Nov 16","","","486.57","02-Nov-2016","",""
