"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","2 Feb 17","Canberra","Parliamentary Political Party Meeting","2","276.00","552.00","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Mackay to Brisbane","","","977.70","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Canberra","","","","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Canberra to Brisbane","","","977.70","03-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Mackay","","","","03-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Mackay to Brisbane","","","578.37","04-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","739.64","05-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Feb 17 - Brisbane to Mackay","","","610.19","11-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Mackay to Brisbane","","","977.70","12-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","","12-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","977.70","17-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Brisbane to Mackay","","","","17-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Mackay to Brisbane","","","977.70","26-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","","26-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","977.70","03-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Brisbane to Mackay","","","","03-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Mackay to Brisbane","","","614.04","03-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Brisbane to Bundaberg","","","","03-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Mar 17 - Bundaberg to Brisbane","","","614.04","05-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Mar 17 - Brisbane to Mackay","","","","05-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Mackay to Brisbane","","","426.91","13-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Brisbane to Mackay","","","426.91","13-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","739.64","19-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Brisbane","","","977.70","02-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Brisbane to Mackay","","","","02-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Jan to 4 Feb 17","","","1,263.79","04-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 29 Jan 17","","","78.55","29-Jan-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Feb to 4 Mar 17","","","1,263.79","04-Mar-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 19 Feb to 21 Feb 17","","","142.02","21-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 31 Oct to 14 Nov 16","","","320.25","14-Nov-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 9 Nov to 8 Dec 16","","","872.43","08-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Accident excess 21 Nov 16","","","500.00","21-Nov-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 4 Dec 16","","","76.22","04-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 5 Dec 16 to 4 Jan 17","","","1,263.79","05-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 5 Dec 16","","","1,182.47","05-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 9 Dec 16 to 8 Jan 17","","","872.43","09-Dec-2016",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Townsville","","","43.50","31-Jan-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Brisbane","","","51.00","31-Jan-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Brisbane","","","40.00","31-Jan-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Brisbane","","","40.00","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Townsville","","","43.50","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Townsville","","","43.50","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Canberra","","","41.80","01-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Canberra","","","44.54","02-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Canberra","","","40.00","02-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Canberra","","","40.00","02-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Canberra","","","40.00","02-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Canberra","","","40.00","03-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Townsville","","","63.50","03-Feb-2017",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Townsville","","","43.50","04-Feb-2017",""
