"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Sydney","Electorate Business","1","400.00","400.00","02-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","20 Feb 17","Kununurra","Electorate Business","2","356.00","712.00","19-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Fitzroy Crossing","Electorate Business","1","268.00","268.00","21-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","23 Feb 17","Broome","Electorate Business","2","414.00","828.00","22-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Brisbane","Rural and Regional Affairs and Transport","1","411.00","411.00","15-Mar-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","15 Nov 16","15 Nov 16","Adelaide","Environment and Communications","1","121.00","121.00","15-Nov-2016",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","20-Nov-2016",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","27-Nov-2016",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","11 Dec 16","12 Dec 16","Kununurra","Electorate Business","2","356.00","712.00","11-Dec-2016",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Perth to Sydney","","","704.88","02-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Perth","","","704.88","03-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Perth to Canberra","","","1,651.31","05-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","1,340.40","10-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Perth","","","","10-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Perth to Canberra","","","827.90","12-Feb-2017",""
"Glenn Sterle","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","716.51","17-Feb-2017",""
