"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Jan 17","17 Jan 17","Hobart","Shadow Parliamentary Secretary - Official Business","1","330.00","330.00","17-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Jan 17","18 Jan 17","Hobart","Electorate Business","1","330.00","330.00","18-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Mar 17","6 Mar 17","Wollongong","Shadow Parliamentary Secretary - Official Business","2","290.00","580.00","05-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Mar 17","16 Mar 17","Hobart","Electorate Business","1","330.00","330.00","16-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Launceston to Melbourne","","","943.32","05-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","","05-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","943.32","10-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Launceston","","","","10-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Launceston to Melbourne","","","943.32","12-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","943.32","17-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Launceston","","","","17-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Launceston to Melbourne","","","1,544.35","22-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Melbourne to Sydney","","","","22-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Townsville","","","","22-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Townsville to Brisbane","","","1,076.27","26-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","","26-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","754.75","03-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Launceston","","","","03-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Mar 17 - Launceston to Sydney","","","703.93","05-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Sydney to Adelaide","","","874.86","07-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Adelaide to Melbourne","","","690.31","07-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Launceston","","","","07-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Launceston to Melbourne","","","664.44","19-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","","19-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 7 Jan 17","","","13.64","07-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 7 Jan to 28 Jan 17","","","263.11","28-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 13 Jan to 12 Feb 17","","","1,033.54","12-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 19 Jan 17","","","13.64","19-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 28 Jan 17","","","13.64","28-Jan-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Feb to 5 Feb 17","","","142.32","05-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 5 Feb 17","","","13.64","05-Feb-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 13 Feb to 12 Mar 17","","","1,033.54","12-Mar-2017",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec to 23 Dec 16","","","215.07","23-Dec-2016",""
