"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Jan 17","12 Jan 17","Tully","Electorate Business","1","268.00","268.00","12-Jan-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Jan 17","13 Jan 17","Yungaburra","Electorate Business","1","268.00","268.00","13-Jan-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Jan 17","27 Jan 17","Mackay","Electorate Business","1","315.00","315.00","27-Jan-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Cairns","Electorate Business","1","307.00","307.00","02-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","3 Feb 17","Brisbane","Electorate Business","1","411.00","411.00","03-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","13","276.00","3,588.00","04-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Cardwell","Electorate Business","1","268.00","268.00","21-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","25 Feb 17","25 Feb 17","Sydney","Representing Minister or Presiding Officer","1","400.00","400.00","25-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","28 Feb 17","Canberra","Senate Estimates","3","276.00","828.00","26-Feb-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","3 Mar 17","Canberra","Senate Estimates","2","276.00","552.00","02-Mar-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Mar 17","4 Mar 17","Canberra","Senate Estimates","1","276.00","276.00","04-Mar-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","8 Mar 17","Adelaide","Treaties","2","362.00","724.00","07-Mar-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Mar 17","14 Mar 17","Brisbane","Legal and Constitutional Affairs","3","411.00","1,233.00","12-Mar-2017",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Cairns to Brisbane","","","637.13","03-Feb-2017",""
