"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Hobart","Electorate Business","1","330.00","330.00","24-Jan-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","1 Feb 17","Brisbane","Economics - Sen","3","411.00","1,233.00","30-Jan-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Melbourne","Economics - Sen","1","382.00","382.00","02-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","12 Feb 17","Canberra","Sittings of Parliament","1","276.00","276.00","12-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","14-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","23 Feb 17","Hobart","Electorate Business","2","330.00","660.00","22-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","27 Feb 17","Gold Coast","Electorate Business","2","354.00","708.00","26-Feb-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Canberra","Foreign Affairs, Defence and Trade - Sen","1","276.00","276.00","06-Mar-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Devonport to Melbourne","","","1,461.40","30-Jan-2017",""
