"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Janet Rice","Senator","","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Canberra","Electorate Business","1","276.00","276.00","24-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Jan 17","27 Jan 17","Sydney","Parliamentary Political Party Meeting","1","400.00","400.00","27-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Sydney","Electorate Business","1","400.00","400.00","19-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Melbourne to Sydney","","","154.16","24-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Sydney to Canberra","","","121.30","24-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Melbourne","","","422.03","25-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Melbourne to Sydney","","","154.16","27-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Sydney to Melbourne","","","154.16","29-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Melbourne to Burnie","","","466.70","03-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Burnie to Melbourne","","","466.70","04-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","422.03","06-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","149.76","10-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","149.76","12-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","149.76","17-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Melbourne to Sydney","","","154.16","19-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Sydney to Melbourne","","","154.16","20-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Feb 17 - Melbourne to Sydney","","","154.16","25-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Sydney to Canberra","","","161.04","26-Feb-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Canberra","","","438.57","15-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Sydney","","","753.07","15-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Wellcamp","","","","15-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Brisbane to Melbourne","","","672.42","17-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","149.76","19-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Mar 17 - Canberra to Melbourne","","","149.76","24-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Mar 17 - Melbourne to Canberra","","","149.76","26-Mar-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","24 Jan 17 - Melbourne","","","42.20","24-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","24 Jan 17 - Canberra","","","41.80","24-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Canberra","","","65.50","25-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Melbourne","","","52.25","25-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","27 Jan 17 - Melbourne","","","40.00","27-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","27 Jan 17 - Sydney","","","43.80","27-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Sydney","","","78.60","29-Jan-2017",""
"Janet Rice","Senator","","Victoria","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Melbourne","","","85.00","29-Jan-2017",""
