"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","12","276.00","3,312.00","05-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Melbourne to Canberra","","","751.97","22-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Canberra to Melbourne","","","751.97","23-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","751.97","26-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","751.97","03-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Melbourne to Canberra 5 Feb 17","","","234.70","05-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Melbourne 17 Feb 17","","","234.70","17-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Canberra","","","78.60","22-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Canberra","","","40.00","23-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Canberra","","","40.00","23-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Other Car Costs","From 1 January 2017","","","","Taxi 3 Mar 17","","","243.64","03-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","24,240.79","01-Jan-1900",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,252.23","01-Jan-1900",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","161.85","31-Jan-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","283.08","31-Jan-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","605.37","27-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","14.15","27-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","925.65","28-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","874.38","27-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","9.10","27-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","140.62","28-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","9.27","28-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Jan to 31 Jan 17","","","-22.73","31-Jan-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","1,008.81","31-Jan-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 31 Jan 17","","","153.26","31-Jan-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 1 Feb to 28 Feb 17","","","795.45","28-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 20 Feb 17","","","80.00","20-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","54,000 Printed items 20 Feb 17","","","11,850.00","20-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 539 rental 1 Apr 17 to 31 Mar 18","","","112.73","01-Apr-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 30 Nov 16","","","221.37","30-Nov-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Dec to 31 Dec 16","","","-22.73","31-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","13,504.66","31-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 1 Dec to 31 Dec 16","","","157.30","31-Dec-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","20 Herald Sun 1 Jan to 4 Feb 17","","","27.27","04-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","20 The Australian 1 Jan to 4 Feb 17","","","49.09","04-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 1 Jan to 4 Feb 17","","","9.00","04-Feb-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 5 Feb to 4 Mar 17","","","9.00","04-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","15 The Australian 5 Feb to 4 Mar 17","","","40.91","04-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","20 Herald Sun 5 Feb to 4 Mar 17","","","27.27","04-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Australian 5 Feb to 4 Mar 17","","","12.27","04-Mar-2017",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Age (digital) 15 Jul 16","","","23.07","15-Jul-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 news+ Full Access 18 Jul 16","","","20.00","18-Jul-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 news+ Full Access 15 Aug 16","","","20.00","15-Aug-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Age (digital) 15 Aug 16","","","23.07","15-Aug-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 news+ Full Access 12 Sep 16","","","20.00","12-Sep-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Age (digital) 14 Sep 16","","","22.93","14-Sep-2016",""
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 news+ Full Access 10 Oct 16","","","20.00","10-Oct-2016",""
