"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Jan 17","9 Jan 17","Sydney","Minister - Official Business","1","442.00","442.00","09-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Jan 17","14 Jan 17","Sydney","Minister - Official Business","1","442.00","442.00","14-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Canberra","Minister - Official Business","1","276.00","276.00","31-Jan-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","01-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","09-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","11 Feb 17","11 Feb 17","Adelaide","Minister - Official Business","1","129.00","129.00","11-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","13 Nov 15","14 Nov 15","Peppermint Grove","Minister - Official Business","-2","123.00","-246.00*","13-Nov-2015","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","18 Nov 15","19 Nov 15","Peppermint Grove","Minister - Official Business","-2","123.00","-246.00*","18-Nov-2015","",""
"Julie Bishop","Representative","Curtin","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","19 Nov 16","19 Nov 16","Adelaide","Minister - Official Business","1","129.00","129.00","19-Nov-2016","",""
