"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","30-Jan-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Launceston","Assistant Minister - Official Business","1","372.00","372.00","31-Jan-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Canberra","Assistant Minister - Official Business","1","276.00","276.00","22-Feb-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","23-Feb-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Warnambool","Assistant Minister - Official Business","1","372.00","372.00","14-Mar-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","15-Mar-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-2017","OS Ministerial - Equipment allowance",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","20,132.30","01-Jan-2017","OS Ministerial - Fares",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","956.95","01-Jan-2017","OS Ministerial - Passport costs",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","43.29","01-Jan-2017","OS Ministerial - Travel advance",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Coolangatta to Melbourne","","","551.93","30-Jan-2017","",""
"Karen Andrews","Representative","McPherson","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Hobart","","","640.54","31-Jan-2017","",""
