"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Jan 17","9 Jan 17","Canberra","Assistant Minister - Official Business","2","276.00","552.00","08-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Jan 17","14 Jan 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","14-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Jan 17","15 Jan 17","Port Macquarie","Assistant Minister - Official Business","1","372.00","372.00","15-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Jan 17","16 Jan 17","Coffs Harbour","Assistant Minister - Official Business","1","372.00","372.00","16-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Toowoomba","Assistant Minister - Official Business","1","372.00","372.00","24-Jan-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Hobart","Assistant Minister - Official Business","1","372.00","372.00","02-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","3 Feb 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","03-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","5 Feb 17","Sydney","Assistant Minister - Official Business","2","442.00","884.00","04-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Feb 17","17 Feb 17","Brisbane","Assistant Minister - Official Business","1","434.00","434.00","17-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Feb 17","19 Feb 17","Kununurra","Assistant Minister - Official Business","2","379.00","758.00","18-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Darwin","Assistant Minister - Official Business","1","464.00","464.00","20-Feb-2017","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","27-Nov-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","4 Dec 16","4 Dec 16","Sydney","Assistant Minister - Official Business","1","442.00","442.00","04-Dec-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","5 Dec 16","5 Dec 16","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","05-Dec-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","6 Dec 16","6 Dec 16","Shepparton","Assistant Minister - Official Business","1","372.00","372.00","06-Dec-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","12 Dec 16","12 Dec 16","Adelaide","Assistant Minister - Official Business","1","386.00","386.00","12-Dec-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","13 Dec 16","13 Dec 16","Sydney","Assistant Minister - Official Business","1","442.00","442.00","13-Dec-2016","",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,080.51","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","5,912.08","01-Jan-2017","OS Ministerial - Fares",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","189.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","48.43","01-Jan-2017","OS Ministerial - Related travel expenses",""
