"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Jan 17","10 Jan 17","Canberra","Shadow Minister - Official Business","2","276.00","552.00","09-Jan-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","29-Jan-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","30-Jan-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","22-Feb-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Jan 17 - Melbourne to Canberra","","","689.24","09-Jan-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Canberra to Sydney","","","628.69","30-Jan-2017",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Canberra","","","628.69","30-Jan-2017",""
