"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","2 Feb 17","Brisbane","Foreign Affairs, Defence and Trade - JSC","2","137.00","274.00","01-Feb-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","13-Feb-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Mar-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Jan 17 - Melbourne to Canberra","","","637.91","20-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Jan 17 - Canberra to Melbourne","","","689.24","20-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Melbourne to Sydney","","","756.04","24-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Sydney to Melbourne","","","756.04","24-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Melbourne to Canberra","","","716.51","25-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Melbourne","","","716.51","25-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Canberra","","","716.51","31-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Canberra to Melbourne","","","716.51","31-Jan-2017",""
"Kimberley Kitching","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Brisbane","","","1,023.41","01-Feb-2017",""
