"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Sydney to Canberra","","","341.03","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Canberra to Sydney","","","341.03","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Sydney to Armidale","","","334.03","09-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Armidale to Sydney","","","334.03","10-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Mar 17 - Sydney to Ballina Airport","","","452.73","12-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Mar 17 - Ballina Airport to Sydney","","","","12-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Canberra","","","354.03","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Sydney","","","354.03","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 6 Feb 17","","","184.80","06-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 10 Feb 17","","","184.80","10-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 12 Feb 17","","","184.80","12-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 16 Feb 17","","","184.80","16-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 26 Feb 17","","","184.80","26-Feb-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 2 Mar 17","","","184.80","02-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Sydney","","","78.60","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Canberra","","","80.40","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Canberra","","","78.60","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Sydney","","","82.40","29-Jan-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","9 Mar 17 - Sydney","","","40.00","09-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","10 Mar 17 - Sydney","","","43.80","10-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","12 Mar 17 - Sydney","","","78.60","12-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","12 Mar 17 - Sydney","","","82.40","12-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","40.00","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","41.80","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","40.00","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","43.80","15-Mar-2017",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Car Costs","COMCAR","Before 1 January 2017","","","","24 Nov 16 - Sydney","","","69.43","24-Nov-2016",""
