"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","24 Jan 17","Townsville","Shadow Minister - Official Business","2","297.00","594.00","23-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Brisbane","Parliamentary Political Party Meeting","1","411.00","411.00","19-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Feb 17","24 Feb 17","Wyong","Shadow Minister - Official Business","1","90.00","90.00","24-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Sydney to Brisbane","","","1,031.09","23-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Brisbane to Townsville","","","","23-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Townsville to Palm Island","","","254.07","24-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Palm Island to Townsville","","","","24-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Townsville to Brisbane","","","1,031.09","25-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Brisbane to Sydney","","","","25-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Hobart","","","669.63","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Hobart to Sydney","","","745.75","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Sydney to Canberra","","","341.03","05-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","341.03","12-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Sydney","","","341.03","16-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Sydney to Brisbane","","","842.96","19-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Brisbane to Sydney","","","768.67","20-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Sydney to Canberra","","","354.03","26-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","354.03","03-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Sydney to Moruya","","","380.00","08-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Moruya to Sydney","","","380.00","08-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 19 Mar 17","","","179.52","19-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Sydney","","","40.00","23-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Townsville","","","61.48","25-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Sydney","","","43.80","25-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Jan 17 - Sydney","","","78.60","26-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Jan 17 - Sydney","","","78.60","26-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Sydney","","","40.00","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Hobart","","","42.00","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Hobart","","","61.57","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Sydney","","","43.80","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Sydney","","","78.60","05-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","80.40","05-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","78.60","05-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Sydney","","","78.60","12-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Sydney","","","47.16","16-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Feb 17 - Sydney","","","78.60","19-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Feb 17 - Brisbane","","","55.54","19-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Brisbane","","","41.92","20-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Brisbane","","","45.30","20-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Sydney","","","43.80","20-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Sydney","","","78.60","26-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Sydney","","","43.80","03-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Sydney","","","40.00","08-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Sydney","","","43.80","08-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Sydney","","","162.31","24-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Canberra","","","80.40","26-Mar-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","13 Jan 17","","","18.41","13-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","14 Jan 17","","","21.97","14-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","17 Jan 17","","","43.45","17-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","17 Jan 17","","","43.45","17-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","20 Jan 17","","","29.73","20-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","22 Jan 17","","","29.26","22-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","1 Feb 17","","","34.34","01-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","3 Feb 17","","","40.38","03-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","3 Feb 17","","","13.14","03-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","3 Feb 17","","","38.36","03-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","10 Feb 17","","","10.08","10-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","11 Feb 17","","","19.37","11-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","12 Feb 17","","","28.77","12-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","22 Feb 17","","","36.35","22-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","22 Feb 17","","","9.40","22-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","22 Feb 17","","","37.89","22-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","23 Feb 17","","","31.84","23-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","23 Feb 17","","","28.96","23-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","24 Feb 17","","","39.04","24-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","24 Feb 17","","","39.32","24-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","6 Dec 16","","","45.37","06-Dec-2016",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","20 Dec 16","","","31.37","20-Dec-2016",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","20 Dec 16","","","27.34","20-Dec-2016",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","38,691.00","01-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","2,080.20","01-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","344.42","31-Jan-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","4.80","27-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","73.71","27-Feb-2017",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Nov to 30 Nov 16","","","70.11","30-Nov-2016",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Nov to 30 Nov 16","","","0.03","30-Nov-2016",""
"Linda Burney","Representative","Barton","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","88.26","27-Dec-2016",""
