"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Townsville","Electoral Matters","1","297.00","297.00","30-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Sydney","Human Rights","1","400.00","400.00","31-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","14 Dec 16","14 Dec 16","Sydney","Representing Minister or Presiding Officer","1","400.00","400.00","14-Dec-2016","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","315.00","01-Jan-2017","OS Representing a Minister 3B - Minor official expense advance",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,858.07","01-Jan-2017","OS Delegation - Accommodation and meals",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-2017","OS Delegation - Equipment allowance",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","6,188.76","01-Jan-2017","OS Delegation - Fares",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","959.45","01-Jan-2017","OS Delegation - Travel advance",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Perth to Brisbane","","","2,117.63","30-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Brisbane to Townsville","","","","30-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Townsville to Brisbane","","","721.41","31-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Brisbane to Sydney","","","","31-Jan-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Perth","","","1,932.32","01-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Perth to Melbourne","","","1,023.57","03-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Melbourne to Launceston","","","101.91","04-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Launceston to Melbourne","","","1,376.12","04-Feb-2017","",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Melbourne to Perth","","","","04-Feb-2017","",""
