"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Canberra","Parliamentary Political Party Meeting","1","276.00","276.00","01-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","12 Feb 17","Canberra","Sittings of Parliament","8","276.00","2,208.00","05-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","13-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","12","276.00","3,312.00","20-Nov-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","16 Dec 16","16 Dec 16","Noosaville","Electorate Business","1","268.00","268.00","16-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Canberra","","","478.43","01-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Canberra to Brisbane","","","478.43","02-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Launceston","","","45.45","01-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Launceston to Brisbane","","","","02-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","478.43","05-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","478.43","17-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","497.34","26-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Brisbane to Cairns","","","215.21","17-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Cairns to Brisbane","","","712.66","19-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","","19-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Mar 17 - Canberra to Brisbane","","","497.34","24-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Mar 17 - Brisbane to Canberra","","","497.34","26-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Brisbane","","","799.62","02-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","17 Dec 16 - Brisbane to Hervey Bay","","","-296.61","17-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","17 Dec 16 - Brisbane to Hervey Bay","","","296.61","17-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 3 Jan to 28 Jan 17","","","459.27","28-Jan-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Jan to 26 Feb 17","","","893.85","26-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 2 Feb to 23 Feb 17","","","337.86","23-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 4 Feb 17","","","56.30","04-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Additional maintenance 6 Feb 17","","","636.54","06-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Feb to 26 Mar 17","","","893.85","26-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 5 Nov to 14 Nov 16","","","189.11","14-Nov-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 7 Nov 16","","","0.68","07-Nov-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 27 Nov to 26 Dec 16","","","893.85","26-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 4 Dec to 25 Dec 16","","","370.71","25-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 27 Dec 16 to 26 Jan 17","","","893.85","27-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Brisbane","","","297.37","01-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Brisbane","","","301.30","02-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Brisbane","","","306.54","05-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Brisbane","","","307.85","17-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Brisbane","","","310.47","26-Feb-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Brisbane","","","320.00","03-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Brisbane","","","301.30","24-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Brisbane","","","301.30","26-Mar-2017",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","COMCAR","Before 1 January 2017","","","","17 Dec 16 - Brisbane","","","-79.70","17-Dec-2016",""
"Llew O'Brien","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Cabcharge","From 1 January 2017","","","","1 Feb 17","","","25.90","01-Feb-2017",""
