"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Brisbane","Parliamentary Political Party Meeting","1","411.00","411.00","19-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Darwin to Melbourne","","","399.09","05-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","149.76","05-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","1,270.57","10-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Darwin","","","","10-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Darwin to Melbourne","","","1,270.57","12-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Darwin to Brisbane","","","1,369.63","19-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Brisbane to Melbourne","","","2,427.55","20-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Melbourne to Darwin","","","","20-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Darwin to Brisbane","","","784.11","26-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","","26-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","900.01","03-Mar-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Sydney to Darwin","","","","03-Mar-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Darwin to Brisbane","","","529.78","19-Mar-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","","19-Mar-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","27 Nov 16 - Darwin to Sydney","","","524.23","27-Nov-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","27 Nov 16 - Sydney to Canberra","","","","27-Nov-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Melbourne","","","1,258.75","02-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Melbourne to Darwin","","","","02-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 4 Jan to 23 Jan 17","","","200.28","23-Jan-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Jan to 16 Feb 17","","","955.44","16-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Feb to 17 Feb 17","","","147.48","17-Feb-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Feb to 16 Mar 17","","","955.44","16-Mar-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 17 Nov to 16 Dec 16","","","983.78","16-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease adj 17 Nov to 16 Dec 16","","","","16-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","","","","-983.78","01-Jan-2017",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 4 Dec 16","","","67.77","04-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 13 Dec to 19 Dec 16","","","133.72","19-Dec-2016",""
"Luke Gosling","Representative","Solomon","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 17 Dec 16 to 16 Jan 17","","","983.78","17-Dec-2016",""
