"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Jan 17","21 Jan 17","Sydney","Electorate Business","5","134.00","670.00","17-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","23 Jan 17","Devonport","Parliamentary Political Party Meeting","2","299.00","598.00","22-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Jan 17","27 Jan 17","Perth","External Territory Visit","1","399.00","399.00","27-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","28 Jan 17","30 Jan 17","Christmas Island","External Territory Visit","3","334.00","1,002.00","28-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","3 Feb 17","Cocos (Keeling)","External Territory Visit","4","439.00","1,756.00","31-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","Islands","","","","","01-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","10 Feb 17","Sydney","Electorate Business","2","400.00","800.00","09-Feb-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Sittings of Parliament","1","134.00","134.00","23-Feb-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Mar 17","4 Mar 17","Sydney","Sittings of Parliament","1","400.00","400.00","04-Mar-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Groote Eylandt","Electorate Business","1","268.00","268.00","06-Mar-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","6","276.00","1,656.00","18-Mar-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Jan 17 - Darwin to Sydney","","","1,477.71","16-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Sydney to Melbourne","","","1,148.63","22-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Melbourne to Devonport","","","","22-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Devonport to Melbourne","","","338.41","24-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Melbourne to Darwin","","","399.09","24-Jan-2017",""
"Malarndirri McCarthy","Senator","","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Darwin to Perth","","","1,439.42","27-Jan-2017",""
