"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","31 Jan 17","Canberra","Sittings of Parliament","2","276.00","552.00","30-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","14 Feb 17","Canberra","Sittings of Parliament","2","276.00","552.00","13-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Senate Estimates","3","276.00","828.00","27-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,231.80","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","40,224.38","01-Jan-2017","OS Ministerial - Fares",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","126.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","133.90","01-Jan-2017","OS Ministerial - Travel advance",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-327.60","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","2,518.25","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","2,205.79","01-Jan-2017","OS Ministerial - Ground transport",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","722.88","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Sydney to Brisbane","","","932.57","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Brisbane to Rockhampton","","","","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Rockhampton to Brisbane","","","932.57","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Brisbane to Sydney","","","","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Mar 17 - Brisbane to Sydney","","","768.67","06-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 7 Jan to 17 Jan 17","","","143.18","17-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Jan to 16 Feb 17","","","1,056.95","16-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 11 Feb 17","","","78.20","11-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Feb to 16 Mar 17","","","1,056.95","16-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 13 Nov 16","","","70.56","13-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 15 Nov 16","","","0.34","15-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 17 Nov to 16 Dec 16","","","1,056.95","16-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 17 Nov 16","","","370.50","17-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 17 Nov 16","","","-5,329.00","17-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 20 Nov 16","","","68.34","20-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 22 Nov 16","","","0.34","22-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 9 Dec to 25 Dec 16","","","143.45","25-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 15 Dec 16","","","0.34","15-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 17 Dec 16 to 16 Jan 17","","","1,056.95","17-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","5 Jan 17 - Sydney","","","97.12","05-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Sydney","","","128.11","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Sydney","","","94.23","23-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Jan 17 - Sydney","","","167.86","27-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Sydney","","","395.62","30-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Canberra","","","40.00","30-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Canberra","","","72.05","30-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Canberra","","","40.00","30-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","40.00","31-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","47.16","31-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Canberra","","","40.00","31-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Canberra","","","40.00","01-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Canberra","","","40.00","01-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Canberra","","","444.09","01-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Sydney","","","131.81","02-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Sydney","","","122.21","02-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Sydney","","","403.48","06-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Canberra","","","78.60","06-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Canberra","","","41.92","06-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Feb 17 - Canberra","","","40.00","07-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Feb 17 - Canberra","","","78.60","07-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Feb 17 - Canberra","","","40.00","07-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Canberra","","","40.00","08-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Canberra","","","40.00","08-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Canberra","","","127.07","08-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Canberra","","","40.00","09-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Sydney","","","438.85","09-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Sydney","","","425.75","13-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Canberra","","","72.05","13-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Feb 17 - Canberra","","","40.00","14-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Feb 17 - Canberra","","","40.00","14-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Canberra","","","40.00","15-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Canberra","","","40.00","15-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Sydney","","","141.55","20-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Sydney","","","40.00","20-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Feb 17 - Sydney","","","112.94","20-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","151.05","21-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","128.69","21-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","149.72","22-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Sydney","","","137.83","23-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","25 Feb 17 - Sydney","","","191.30","25-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Sydney","","","111.73","26-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Sydney","","","412.65","27-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Canberra","","","99.56","27-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Feb 17 - Canberra","","","40.00","28-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Feb 17 - Canberra","","","40.00","28-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Feb 17 - Canberra","","","100.87","28-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Mar 17 - Canberra","","","40.00","01-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","1 Mar 17 - Canberra","","","40.00","01-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Canberra","","","40.00","02-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Melbourne","","","265.51","02-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Melbourne","","","133.62","03-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Melbourne","","","418.48","03-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Mar 17 - Sydney","","","69.43","06-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Mar 17 - Brisbane","","","491.25","06-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","6 Mar 17 - Sydney","","","90.30","06-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Sydney","","","639.28","07-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Canberra","","","40.00","07-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Canberra","","","47.16","07-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Canberra","","","208.29","08-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Canberra","","","424.44","08-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","9 Mar 17 - Sydney","","","130.50","09-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Mar 17 - Sydney","","","134.88","10-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Mar 17 - Sydney","","","40.00","10-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Mar 17 - Sydney","","","40.00","10-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Mar 17 - Sydney","","","40.00","10-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Mar 17 - Sydney","","","105.06","13-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Sydney","","","78.60","14-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Canberra","","","40.00","14-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Canberra","","","40.00","14-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","40.00","15-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","40.00","15-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Canberra","","","40.00","15-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","50.00","15-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Sydney","","","40.00","16-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Sydney","","","40.00","16-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Sydney","","","64.19","16-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Mar 17 - Sydney","","","610.33","17-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Sydney","","","410.03","20-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Canberra","","","40.00","20-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Mar 17 - Canberra","","","40.00","21-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Mar 17 - Canberra","","","40.00","21-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","21 Mar 17 - Canberra","","","58.95","21-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Mar 17 - Canberra","","","40.00","22-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Mar 17 - Canberra","","","40.00","22-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.61","24-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","75.98","24-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","285.58","24-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Sydney","","","402.17","27-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Canberra","","","77.29","27-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Mar 17 - Canberra","","","40.00","28-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Mar 17 - Canberra","","","40.00","28-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","29 Mar 17 - Canberra","","","40.00","29-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","29 Mar 17 - Canberra","","","40.00","29-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","29 Mar 17 - Canberra","","","51.09","29-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Mar 17 - Canberra","","","40.00","30-Mar-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","","","","24 Oct 16 - Sydney","","","79.95","24-Oct-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","90,502.83","01-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","1,856.51","01-Jan-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","1.76","27-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","7.85","27-Feb-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","149.56","27-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","25.83","27-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","0.50","28-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","2.08","28-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","2.08","28-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","0.50","28-Dec-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 1420 rental 1 Apr 17 to 31 Mar 18","","","443.64","01-Apr-2017","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","22 The Australian 1 Nov to 30 Nov 16","","","54.00","30-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","22 The Australian Financial Review 1 Nov to 30 Nov 16","","","80.00","30-Nov-2016","",""
"Marise Payne","Senator","","New South Wales","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","Refund of publications 1 Nov to 30 Nov 16","","","-3.64","30-Nov-2016","",""
